id|faction_id|name|legend|description|detachment|
000008447|AE|Unparalleled Foresight|When the Aeldari take to the battlefield, any who oppose them are left confounded by their grace, elegance and martial skill. Where lesser beings would falter, the Aeldari move with a surety of purpose that can only be perceived as preordained.|Each time an <span class="kwb">AELDARI</span> unit from your army is selected to shoot or fight, you can re-roll one <span class="tooltip00012" data-tooltip-content="#tooltip_content00012"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> and you can re-roll one <span class="tooltip00014" data-tooltip-content="#tooltip_content00014"><span class="tt kwbu">Wound</span> <span class="tt kwbu">roll</span></span> when resolving those attacks.|Battle Host|
000008379|AM|Born Soldiers|Regiments of numerous origins and tactical roles inculcate their soldiers from an early age with the legendary doctrines of the Tactica Imperium. Infantry and tank crews are drilled in close-range fire patterns in the expectation of being thrust into the front lines.|Each time an <span class="kwb">ASTRA</span> <span class="kwb">MILITARUM</span> unit from your army <span class="tooltip00560" data-tooltip-content="#tooltip_content00560"><span class="tt kwbu">Remains</span> <span class="tt kwbu">Stationary</span></span>, until the end of the turn, ranged weapons equipped by models in that unit have the <span class="kwb2 bluefont"><span class="tooltip00502" data-tooltip-content="#tooltip_content00502"><span class="tt kwbu">[LETHAL</span> <span class="tt kwbu">HITS]</span></span></span> ability.|Combined Regiment|
000008468|AS|The Blood of Martyrs|The blood of martyrs is the life force of the Imperium. So do the tenets of this Order joyously proclaim, and in its warriors’ darkest hour does the sacrifice of their fallen Sisters shine brightest.|Each time an <span class="kwb">ADEPTA</span> <span class="kwb">SORORITAS</span> model from your army makes an attack, add 1 to the <span class="tooltip00012" data-tooltip-content="#tooltip_content00012"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> if that model’s unit is below its <span class="tooltip00573" data-tooltip-content="#tooltip_content00573"><span class="tt kwbu">Starting</span> <span class="tt kwbu">Strength</span></span>, and add 1 to the <span class="tooltip00014" data-tooltip-content="#tooltip_content00014"><span class="tt kwbu">Wound</span> <span class="tt kwbu">roll</span></span>, as well, if that model’s unit is <span class="tooltip00561" data-tooltip-content="#tooltip_content00561"><span class="tt kwbu">Below</span> <span class="tt kwbu">Half-strength</span></span>. For the purposes of this ability, if a unit has a Starting Strength of 1, it is considered to be below its Starting Strength while it has lost one or more wounds.|Hallowed Martyrs|
000008436|CD|Warp Rifts|Daemonic legions tear through the fabric of realspace, malevolent entities flickering into being like phantasms from a nightmare. Worse still, as terror and panic take hold of their victims, so their mortal souls become ever easier prey for the entities pouring through from the warp.|Each time a <span class="kwb">LEGIONES</span> <span class="kwb">DAEMONICA</span> unit from your army is set up on the battlefield using the <span class="tooltip00280" data-tooltip-content="#tooltip_content00280"><span class="tt kwbu">Deep</span> <span class="tt kwbu">Strike</span></span> ability, if it is set up wholly within your army’s Shadow of Chaos, it can be set up anywhere that is more than 6" horizontally away from all enemy models, instead of more than 9".|Daemonic Incursion|
000008362|CSM|Marks of Chaos||When mustering your army, each time you select a <span class="kwb">HERETIC</span> <span class="kwb">ASTARTES</span> unit to include in your army, if that unit is not an <span class="tooltip00004" data-tooltip-content="#tooltip_content00004" data-tooltip-anchor="#tooltip_content00004"><span class="kwb kwbu">EPIC</span> <span class="kwb kwbu">HERO</span></span> and does not already have one or more of the keywords listed below, you must select one of the keywords listed below for that unit to gain (note which units gain which keywords in this way on your <a href="/wh40k10ed/the-rules/core-rules/#2.-Start-Your-Army-Roster">Army Roster</a>). Each time a unit with one of these keywords makes a <span class="tooltip00005" data-tooltip-content="#tooltip_content00005"><span class="tt kwbu">Dark</span> <span class="tt kwbu">Pact</span></span>, it gains the associated ability below until the end of the phase.<br><br><div class="BreakInsideAvoid"  style="""><table border="0" bordercolor="#888" cellpadding="4" cellspacing="0" style="border-collapse:collapse;border-width:0px"><tbody><tr><td><table class=" customTable tablefont" border="1" bordercolor="#888" cellpadding="4" style="border-collapse:collapse;border-color:#888888;border-width:0px"><tbody><tr><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:bottom;font-size:25px;width:120px;height:0px;"><b>KEYWORD</b></td><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:bottom;font-size:25px;width:440px;height:0px;"><b>ABILITY</b></td></tr><tr><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:top;width:120px;height:0px;"><b>Khorne</b></td><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:top;width:440px;height:0px;"><b>Blood Fury:</b> In the <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, if this unit’s weapons gained the <span class="kwb2 bluefont"><span class="tooltip00502" data-tooltip-content="#tooltip_content00502"><span class="tt kwbu">[LETHAL</span> <span class="tt kwbu">HITS]</span></span></span> ability this phase as the result of a <span class="tooltip00005" data-tooltip-content="#tooltip_content00005"><span class="tt kwbu">Dark</span> <span class="tt kwbu">Pact</span></span>, each time a model in this unit makes an attack, an unmodified <span class="tooltip00012" data-tooltip-content="#tooltip_content00012"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> of 5+ scores a Critical Hit.</td></tr><tr><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:top;width:120px;height:0px;"><b>Tzeentch</b></td><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:top;width:440px;height:0px;"><b>Warpfire:</b> In the <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, if this unit’s weapons gained the <span class="kwb2 bluefont"><span class="tooltip00502" data-tooltip-content="#tooltip_content00502"><span class="tt kwbu">[LETHAL</span> <span class="tt kwbu">HITS]</span></span></span> ability this phase as the result of a <span class="tooltip00005" data-tooltip-content="#tooltip_content00005"><span class="tt kwbu">Dark</span> <span class="tt kwbu">Pact</span></span>, each time a model in this unit makes an attack, an unmodified <span class="tooltip00012" data-tooltip-content="#tooltip_content00012"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> of 5+ scores a Critical Hit.</td></tr><tr><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:top;width:120px;height:0px;"><b>Nurgle</b></td><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:top;width:440px;height:0px;"><b>Spreading Sickness:</b> In the <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, if this unit’s weapons gained the <span class="kwb2 bluefont"><span class="tooltip00002" data-tooltip-content="#tooltip_content00002"><span class="tt kwbu">[SUSTAINED</span> <span class="tt kwbu">HITS</span> <span class="tt kwbu">1]</span></span></span> ability this phase as the result of a <span class="tooltip00005" data-tooltip-content="#tooltip_content00005"><span class="tt kwbu">Dark</span> <span class="tt kwbu">Pact</span></span>, each time a model in this unit makes an attack, an unmodified <span class="tooltip00012" data-tooltip-content="#tooltip_content00012"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> of 5+ scores a Critical Hit.</td></tr><tr><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:top;width:120px;height:0px;"><b>Slaanesh</b></td><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:top;width:440px;height:0px;"><b>Excessive Cruelty:</b> In the <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, if this unit’s weapons gained the <span class="kwb2 bluefont"><span class="tooltip00002" data-tooltip-content="#tooltip_content00002"><span class="tt kwbu">[SUSTAINED</span> <span class="tt kwbu">HITS</span> <span class="tt kwbu">1]</span></span></span> ability this phase as the result of a <span class="tooltip00005" data-tooltip-content="#tooltip_content00005"><span class="tt kwbu">Dark</span> <span class="tt kwbu">Pact</span></span>, each time a model in this unit makes an attack, an unmodified <span class="tooltip00012" data-tooltip-content="#tooltip_content00012"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> of 5+ scores a Critical Hit.</td></tr><tr><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:top;width:120px;height:0px;"><b>Chaos Undivided</b></td><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:top;width:440px;height:0px;"><b>Glory to Chaos:</b> Each time a model in this unit makes an attack, re-roll a <span class="tooltip00012" data-tooltip-content="#tooltip_content00012"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> of 1.</td></tr></tbody></table></td></tr></tbody></table></div><br><br><span class="hi_custom">RESTRICTIONS</span><br><ul><li>You cannot select the <span class="kwb">KHORNE</span> keyword for a <span class="tooltip00181" data-tooltip-content="#tooltip_content00181" data-tooltip-anchor="#tooltip_content00181"><span class="kwb kwbu">PSYKER</span></span> unit to gain.</li><li>A <span class="tooltip00071" data-tooltip-content="#tooltip_content00071" data-tooltip-anchor="#tooltip_content00071"><span class="kwb kwbu">CHARACTER</span></span> unit with the <span class="tooltip00008" data-tooltip-content="#tooltip_content00008"><span class="tt kwbu">Leader</span></span> ability can only be attached to a <span class="tooltip00009" data-tooltip-content="#tooltip_content00009"><span class="tt kwbu">Bodyguard</span></span> unit if both of those units share one of the same keywords from the list above.</li><li>A unit can only <span class="tooltip00010" data-tooltip-content="#tooltip_content00010"><span class="tt kwbu">embark</span></span> within (or start the battle embarked within) a <span class="tooltip00183" data-tooltip-content="#tooltip_content00183" data-tooltip-anchor="#tooltip_content00183"><span class="kwb kwbu">TRANSPORT</span></span> if both of those units share one of the same keywords from the list above.</li></ul>|Slaves to Darkness|
000008398|DG|Spread the Sickness|To the Death Guard, spreading Nurgle’s gifts goes beyond the beings they fight – even the landscapes they tread upon they seek to corrupt, cultivating Nurgle’s garden as widely as possible.|During the Declare Battle Formations step, select one of the Sicknesses below. Until the end of the battle, all units from your army with the Nurgle’s Gift ability gain the selected Sickness.<br><ul><li><b>Skullsquirm Blight (Aura):</b> While an enemy unit is within Contagion Range of this unit, worsen the Ballistic Skill and Weapon Skill characteristics of weapons equipped by models in that enemy unit by 1.</li><li><b>Rattlejoint Ague (Aura):</b> While an enemy unit is within Contagion Range of this unit, worsen the Save characteristic of models in that enemy unit by 1.</li><li><b>Scabrous Soulrot (Aura):</b> While an enemy unit is within Contagion Range of this unit, worsen the Leadership and Objective Control characteristics of models in that enemy unit by 1 (to a minimum of 1).</li></ul><br>If you control an <span class="tooltip00245" data-tooltip-content="#tooltip_content00245"><span class="tt kwbu">objective</span> <span class="tt kwbu">marker</span></span> at the end of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a> and a <span class="kwb">DEATH</span> <span class="kwb">GUARD</span> unit from your army is within range of that objective marker, that objective marker is said to be Infected and remains under your control even if you have no models within range of it, until your opponent controls it at the start or end of any turn. In addition, while an objective marker is Infected and under your control, it has the <span class="tooltip00190" data-tooltip-content="#tooltip_content00190"><span class="tt kwbu">Nurgle’s</span> <span class="tt kwbu">Gift</span></span> ability as if it were a unit from your army (so enemy units within Contagion Range of it will have their characteristics modified).|Plague Company|
000008509|DRU|Realspace Raiders|The three factions of the Drukhari are constantly vying for supremacy, each convinced beyond doubt of their own innate superiority. This struggle manifests during their realspace raids as a frenzy of murderously sadistic competition.|At the start of the battle, you gain an additional 1 <span class="tooltip00164" data-tooltip-content="#tooltip_content00164"><span class="tt kwbu">Pain</span> <span class="tt kwbu">token</span></span> for each of the following your army contains:<br><ul><li>One or more <a class="kwbOne" href="/wh40k10ed/factions/drukhari/Archon"><span class="kwb kwbo">ARCHON</span></a> models</li><li>One or more <span class="tooltip00564" data-tooltip-content="#tooltip_content00564" data-tooltip-anchor="#tooltip_content00564"><span class="kwb kwbu">SUCCUBUS</span></span> models</li><li>One or more <span class="tooltip00563" data-tooltip-content="#tooltip_content00563" data-tooltip-anchor="#tooltip_content00563"><span class="kwb kwbu">HAEMONCULUS</span></span> models</li></ul><br><b>Designer’s Note:</b> <i>These are all cumulative, so if your army contains at least one Archon, at least one Succubus and at least one Haemonculus, you would start the battle with an additional 3 Pain tokens.</i>|Realspace Raiders|
000008714|DRU|Rain Of Cruelty|Few warriors in the galaxy are as adept at launching punishing skyborne raids as the Drukhari. Before their prey even realise the peril, the killers of Commorragh are amongst their lines like grinning ghouls. Splinter fire lays low defenders still scrambling into position.  Quicksilver assaults leave dozens screaming in maimed agony. Often, the battle is over before it has even truly begun. |Each time a <span class="kwb">DRUKHARI</span> unit from your army <span class="tooltip00258" data-tooltip-content="#tooltip_content00258"><span class="tt kwbu">disembarks</span></span> from a <span class="tooltip00080" data-tooltip-content="#tooltip_content00080" data-tooltip-anchor="#tooltip_content00080"><span class="kwb kwbu">TRANSPORT</span></span>, until the end of the turn, that unit’s ranged weapons have the <span class="kwb2 bluefont"><span class="tooltip00551" data-tooltip-content="#tooltip_content00551"><span class="tt kwbu">[IGNORES</span> <span class="tt kwbu">COVER]</span></span></span> ability and that unit’s melee weapons have the <span class="kwb2 bluefont"><span class="tooltip00576" data-tooltip-content="#tooltip_content00576"><span class="tt kwbu">[LANCE]</span></span></span> ability.|Skysplinter Assault|
000008506|GC|They Came From Below|For generations an insidious threat has lain hidden within the shadows. Now their time is nigh, and from out of the tunnels and sewers they rise to topple their oppressors in brutally violent insurrection. None can escape the sudden ambushes that herald the Day of Ascension!|Each time a <span class="kwb">GENESTEALER</span> <span class="kwb">CULTS</span> unit from your army is set up on the battlefield as <a href="/wh40k10ed/the-rules/core-rules/#2.-Reinforcements">Reinforcements</a>, until the end of your next <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, weapons equipped by models in that unit have the <span class="kwb2 bluefont"><span class="tooltip00002" data-tooltip-content="#tooltip_content00002"><span class="tt kwbu">[SUSTAINED</span> <span class="tt kwbu">HITS</span> <span class="tt kwbu">1]</span></span></span> and <span class="kwb2 bluefont"><span class="tooltip00551" data-tooltip-content="#tooltip_content00551"><span class="tt kwbu">[IGNORES</span> <span class="tt kwbu">COVER]</span></span></span> abilities.|Ascension Day|
000008455|GK|Teleport Shunt|Hardened against the corrupting touch of Chaos, protected by silver sigils and the warriors’ own purity of spirit, Grey Knights are capable of enduring rapid and repeated submersions in the warp. When a lightning-fast purgation is required, orbiting strike cruisers maintain a constant spiritual lock on their battle-brothers, enabling Grey Knights to perform short-ranged teleportations. Flickering in and out of reality, this exceptional mobility allows them to outmanoeuvre the most otherworldly of enemies.|Each time a <span class="kwb">GREY</span> <span class="kwb">KNIGHTS</span> unit with the <span class="tooltip00280" data-tooltip-content="#tooltip_content00280"><span class="tt kwbu">Deep</span> <span class="tt kwbu">Strike</span></span> ability Advances, do not make an <span class="tooltip00504" data-tooltip-content="#tooltip_content00504"><span class="tt kwbu">Advance</span> <span class="tt kwbu">roll</span></span>. Instead, until the end of the phase, add 6" to that unit’s Move characteristic and that unit can <span class="tooltip00338" data-tooltip-content="#tooltip_content00338"><span class="tt kwbu"><span class="kwb">FLY</span></span></span>.|Teleport Strike Force|
