id|name|type|edition|version|errata_date|errata_link|
000000020|Tyranids|Codex|10||11.10.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/10/4ER2F8hNsQmhdmOy.pdf|
000000024|Adeptus Custodes|Codex|10|1.0|29.05.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/3oLBosicdw5495ZG.pdf|
000000112|Adepta Sororitas|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/0XhlKerWPHWjXacG.pdf|
000000012|Chaos Space Marines|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/jDf2ViVLnertkft9.pdf|
000000100|Legends: Tyranids|Datasheet|10||21.07.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/1QOpmIHWutgQXdcp.pdf|
000000139|Space Marines|Codex|10|1.0|07.11.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/11/ihfw8hovAWMLNpk2.pdf|
000000016|Astra Militarum|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/zmNz7rGORpaft8ik.pdf|
000000203|Leagues of Votann|Index|10||29.05.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/ZWI4H52V5LzdBrXB.pdf|
000000029|Necrons|Codex|10|1.0|10.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2024/01/S5ThB5tL9CLxVU3a.pdf|
000000031|Drukhari|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/YM94ReD2i0ka88QU.pdf|
000000239|Legends: Adeptus Astartes|Datasheet|10||24.08.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/bJFwvBzobubH4qaz.pdf|
000000023|Dark Angels|Codex Supplement|10|1.0|10.04.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/GHp3f8iVogX3bqfI.pdf|
000000238|Imperial Armour: Space Marines|Datasheet|10||19.06.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/I5z3erYio9qzJkUa.pdf|
000000237|Horus Heresy Legends: Adeptus Astartes|Datasheet|10||21.06.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/g3bIhhmp9MBUCeX6.pdf|
000000246|Legends: Blood Angels|Datasheet|10||21.07.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/afz2HohkLtuIxOsT.pdf|
000000254|Legends: Legiones Daemonica|Datasheet|10||21.07.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/6kgtkNNDDC4tttwh.pdf|
000000257|Legends: Aeldari|Datasheet|10||21.07.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/buLiYAnRVUDPizSk.pdf|
000000240|Legends: Heretic Astartes|Datasheet|10||21.07.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/DICpt9jNVJgioZKs.pdf|
000000250|Legends: Adeptus Mechanicus|Datasheet|10||06.12.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/6ulBIB94VFGmfLlH.pdf|
000000021|Blood Angels|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/4VZEQzITSoGhW71H.pdf|
000000243|Legends: Orks|Datasheet|10||21.07.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/ymEVVaoU5ZRJoU8N.pdf|
000000256|Legends: T’au Empire|Datasheet|10||24.08.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/3uQbdWxcC5bzdkOn.pdf|
000000267|Legends: Drukhari|Datasheet|10||21.07.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/iB4PJScsOahnNARq.pdf|
000000249|Legends: Astra Militarum|Datasheet|10||24.08.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/jNHY4B0QD6wZidaL.pdf|
000000264|Legends: Adepta Sororitas|Datasheet|10||21.07.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/vAo4dwpE1xDPqWa2.pdf|
000000252|Imperial Armour: Adeptus Custodes|Datasheet|10||19.06.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/HOgEzRypbsBBGrnB.pdf|
000000268|Imperial Armour: Chaos Knights|Datasheet|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/G5vjHcTOaKKGOeiw.pdf|
000000263|Imperial Armour: Imperial Knights|Datasheet|10||19.06.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/YeS47MWmFkWqKoLP.pdf|
000000261|Imperial Armour: Grey Knights|Datasheet|10||19.06.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/3UEEFOlzG1OWDodc.pdf|
000000247|Imperial Armour: Astra Militarum Part 1|Datasheet|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/j519sPbDgJtogiQy.pdf|
000000242|Imperial Armour: Orks|Datasheet|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/MdIazd47o2x4IqtP.pdf|
000000255|Imperial Armour: T’au Empire|Datasheet|10||19.06.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/NUbyWNu2bOI74T6p.pdf|
000000258|Imperial Armour: Aeldari|Datasheet|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/laJdk9HKwTUB99th.pdf|
000000266|Imperial Armour: Drukhari|Datasheet|10||19.06.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/jtAaEARk7wCoSVhV.pdf|
000000248|Imperial Armour: Astra Militarum Part 2|Datasheet|10||19.06.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/Q98wnngqmxUac4rm.pdf|
000000241|Horus Heresy Legends: Heretic Astartes|Datasheet|10||21.06.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/pV70XLjIji8Z2ELx.pdf|
000000251|Horus Heresy Legends: Adeptus Mechanicum|Datasheet|10||21.06.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/ivUn0tBjeSF08jma.pdf|
000000265|Legends: Genestealer Cults|Datasheet|10||21.07.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/sxfEMnzBnOmwGMFm.pdf|
000000269|Legends: Space Wolves|Datasheet|10||21.07.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/B3LgGEwUeZ2EhdD8.pdf|
000000036|Space Wolves|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/dN1HTJu56zmMh3RY.pdf|
000000253|Legends: Death Guard|Datasheet|10||21.07.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/yIpisqY0QSmiTF7o.pdf|
000000262|Legends: Grey Knights|Datasheet|10||21.07.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/a6H14HO1LJ2LDmq2.pdf|
000000276|Legends: Dark Angels|Datasheet|10||06.03.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2024/03/7nZbAERT23Q69V4x.pdf|
000000035|Deathwatch|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/2g1nLCj2IfYNVuc9.pdf|
000000260|Legends: Agents of the Imperium|Datasheet|10||24.08.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/F5hRs04eETDRxLfM.pdf|
000000162|Black Templars|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/EYQzVIyV6MVP4jmS.pdf|
000000088|Games Workshop: Da Red Gobbo|Datasheet|10||03.11.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/11/tvW7Dd5Ihf78pINe.pdf|
000000273|Games Workshop: Grotmas Gitz|Datasheet|10||24.11.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/11/kbp3w1r7xLNa8PRL.pdf|
000000278|Legends: Ufthak Blackhawk|Datasheet|10||09.02.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2024/02/npGkPDsleGP3zO7c.pdf|
