id|name|legend|faction_id|description|
000008340|Fights First|Some warriors attack with blinding speed, landing their blows before their foes can react.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">FIGHTS FIRST</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Some warriors attack with blinding speed, landing their blows before their foes can react.</p>Units with this ability that are eligible to fight do so in the <a href="/wh40k10ed/the-rules/core-rules/#1.-Fights-First">Fights First</a> step, provided every model in the unit has this ability.</div>|
000008342|Hover|Some aircraft can use vectored thrusters or anti-grav technology to hover over the battlefield, the better to hunt their prey or deploy embarked troops.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">HOVER</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Some aircraft can use vectored thrusters or anti-grav technology to hover over the battlefield, the better to hunt their prey or deploy embarked troops.</p>Some <a href="/wh40k10ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> models have ‘Hover’ listed in their abilities. When you are instructed to <a href="/wh40k10ed/the-rules/core-rules/#Declare-Battle-Formations">Declare Battle Formations</a>, before doing anything else, you must first declare which models from your army with this ability will be in Hover mode.<br><br>If a model is in Hover mode, then until the end of the battle, its Move characteristic is changed to 20", it loses the <span class="kwb">AIRCRAFT</span> keyword and it loses all associated rules for being an <span class="kwb">AIRCRAFT</span> model. Models in Hover mode do not start the battle in <a href="/wh40k10ed/the-rules/core-rules/#2.-Reinforcements">Reserves</a>, but you can choose to place them into <a href="/wh40k10ed/the-rules/core-rules/#Strategic-Reserves">Strategic Reserves</a> following the normal rules if you wish.</div>|
000008343|Deep Strike|Some units make their way to battle via tunnelling, teleportation, high-altitude descent or other extraordinary means that allow them to appear suddenly in the thick of the fighting.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">DEEP STRIKE</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Some units make their way to battle via tunnelling, teleportation, high-altitude descent or other extraordinary means that allow them to appear suddenly in the thick of the fighting.</p>During the Declare Battle Formations step, if every model in a unit has this ability, you can set it up in Reserves instead of setting it up on the battlefield. If you do, in the Reinforcements step of one of your Movement phases you can set up this unit anywhere on the battlefield that is more than 9" horizontally away from all enemy models. If a unit with the Deep Strike ability arrives from Strategic Reserves, the controlling player can choose for that unit to be set up either using the rules for Strategic Reserves or using the Deep Strike ability. <br><div class="BreakInsideAvoid frameLight Corner14" style=""><ul class="redSquare"><li>Unit can be set up in Reserves instead of on the battlefield.</li><li>Unit can be set up in your Reinforcements step, more than 9" horizontally away from all enemy models.</li></ul></div></div>|
000008344|Scouts|Scouts form the vanguard of many armies. Unnoticed by the enemy, they range ahead of the main force.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">SCOUTS</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Scouts form the vanguard of many armies. Unnoticed by the enemy, they range ahead of the main force.</p>Some units have ‘Scouts x"’ listed in their abilities. If every model in a unit has this ability, then at the start of the first battle round, before the first turn begins, it can make a Normal move of up to x", with the exception that, while making that move, the distance moved by each model in that unit can be greater than that model's Move characteristic, as long as it is not greater than x".<br><br><span class="kwb">DEDICATED</span> <span class="kwb">TRANSPORT</span> models can make use of any Scouts x" ability listed in their abilities, or a Scouts x" ability that a unit that starts the battle embarked within that <span class="kwb">DEDICATED</span> <span class="kwb">TRANSPORT</span> model has (provided only models with this ability are embarked within that <span class="kwb">DEDICATED</span> <span class="kwb">TRANSPORT</span> model), regardless of how that embarked unit gained this ability (e.g. listed in their abilities, conferred by an Enhancement or by an <span class="tooltip00020" data-tooltip-content="#tooltip_content00020"><span class="tt kwbu">attached</span></span> <span class="kwb">CHARACTER</span>, etc.).<br><br>A unit that moves using this ability must end that move more than 9" horizontally away from all enemy models. If both players have units that can do this, the player who is taking the first turn moves their units first.<br><br><div class="redExample"><b>Example:</b> A unit has the Scouts 6" ability. At the start of the first battle round, the controlling player can make a Normal move with that unit of up to 6".</div><br><div class="BreakInsideAvoid frameLight Corner14" style=""><ul class="redSquare"><li><b>Scouts x":</b> Unit can make a Normal move of up to x" before the first turn begins.</li><li>If embarked in a <span class="kwb">DEDICATED</span> <span class="kwb">TRANSPORT</span>, that <span class="kwb">DEDICATED</span> <span class="kwb">TRANSPORT</span> can make this move instead.</li><li>Must end this move more than 9" horizontally away from all enemy models.</li></ul></div></div>|
000008345|Infiltrators|Many armies employ reconnaissance units who can sit concealed, waiting for the right moment to strike.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">INFILTRATORS</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Many armies employ reconnaissance units who can sit concealed, waiting for the right moment to strike.</p>During deployment, if every model in a unit has this ability, then when you set it up, it can be set up anywhere on the battlefield that is more than 9" horizontally away from the enemy deployment zone and all enemy models.</div>|
000008346|Leader|Mighty heroes fight at the forefront of battle.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">LEADER</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Mighty heroes fight at the forefront of battle.</p>Some <span class="kwb">CHARACTER</span> units have ‘Leader’ listed on their datasheets. Such <span class="kwb">CHARACTER</span> units are known as Leaders, and the units they can lead – known as their Bodyguard units – are listed on their datasheet.<br><br>During the Declare Battle Formations step, for each Leader in your army, if your army also includes one or more of that Leader’s Bodyguard units, you can select one of those Bodyguard units. That Leader will then attach to that Bodyguard unit for the duration of the battle and is said to be leading that unit. Each Bodyguard unit can only have one Leader attached to it.<br><br>While a Bodyguard unit contains a Leader, it is known as an Attached unit and, with the exception of rules that are triggered when units are <span class="tooltip01010" data-tooltip-content="#tooltip_content01010"><span class="tt kwbu">destroyed</span></span>, it is treated as a single unit for all rules purposes. Each time an attack targets an Attached unit, until the attacking unit has resolved all of its attacks, you must use the Toughness characteristic of the Bodyguard models in that unit, even if a Leader in that unit has a different Toughness characteristic. Each time an attack sucessfully wounds an Attached unit, that attack cannot be allocated to a <span class="kwb">CHARACTER</span> model in that unit, even if that <span class="kwb">CHARACTER</span> model has lost one or more wounds or has already had attacks allocated to it this phase. As soon as the last Bodyguard model in an Attached unit has been destroyed, any attacks made against that unit that have yet to be allocated can then be allocated to <span class="kwb">CHARACTER</span> models in that unit.<br><br>Each time the last model in a Bodyguard unit is destroyed, each <span class="kwb">CHARACTER</span> unit that is part of that Attached unit is no longer part of an Attached unit. It becomes a separate unit, with its original Starting Strength. If this happens as the result of an attack, they become separate units after the attacking unit has resolved all of its attacks.<br><br>Each time the last model in a <span class="kwb">CHARACTER</span> unit that is attached to a Bodyguard unit is destroyed and there is not another <span class="kwb">CHARACTER</span> unit attached, that Attached unit’s Bodyguard unit is no longer part of an Attached unit. It becomes a separate unit, with its original Starting Strength. If this happens as the result of an attack, they become separate units after the attacking unit has resolved all of its attacks. <br><br>Each time a unit that is part of an Attached unit is destroyed, it does not have the keywords of any other units that make up that Attached unit (unless it has those keywords on its own datasheet) for the purposes of any rules that would be triggered when that unit is destroyed.<br><br><div class="redExample"><b>Example:</b> <i>If you only destroy the Bodyguard unit that is part of an Attached unit, you have not destroyed a <span class="kwb">CHARACTER</span> unit. If you only destroy the <span class="kwb">CHARACTER</span> unit that is part of an Attached unit, or if you destroy the whole Attached unit, you have destroyed one <span class="kwb">CHARACTER</span> unit.</i></div><br><div class="BreakInsideAvoid frameLight Corner14" style=""><ul class="redSquare"><li>Before the battle, <span class="kwb">CHARACTER</span> units with the Leader ability can be attached to one of their Bodyguard units to form an Attached unit.</li><li>Attached units can only contain one Leader.</li><li>Attacks cannot be allocated to <span class="kwb">CHARACTER</span> models in Attached units.</li></ul></div></div>|
000008350|Oath of Moment|In battle, Space Marines swear mighty oaths to destroy the enemies of the Emperor and uphold the honour of their Chapter, and such vows are sacrosanct. When the Angels of Death strike, they do so with the precision of a surgeon and the force of a thunderbolt. Experience and strategic expertise help them to read the shifting shape of the battle with post-human speed and clarity, directing their wrath towards one priority target after another. Command assets are annihilated, leaving the enemy reeling leaderless. Heavy armour, potent artillery and the vaunted elites of the foe’s forces are laid waste with horrifying speed, until the Emperor’s Angels of Death stand victorious over a field of smouldering wreckage and bolt-riddled corpses, and honour is finally satisfied.|WE|If your Army Faction is <span class="kwb">ADEPTUS</span> <span class="kwb">ASTARTES</span>, at the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, select one unit from your opponent’s army. Until the start of your next Command phase, that enemy unit is your Oath of Moment target. Each time a model with this ability makes an attack that targets your Oath of Moment target:<br><ul><li>You can re-roll the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.</li><li>If your army does not include one or more units with the <span class="tooltip00262" data-tooltip-content="#tooltip_content00262" data-tooltip-anchor="#tooltip_content00262"><span class="kwb">BLACK</span> <span class="kwb">TEMPLARS</span></span>, <span class="tooltip00263" data-tooltip-content="#tooltip_content00263" data-tooltip-anchor="#tooltip_content00263"><span class="kwb">BLOOD</span> <span class="kwb">ANGELS</span></span>, <span class="tooltip00264" data-tooltip-content="#tooltip_content00264" data-tooltip-anchor="#tooltip_content00264"><span class="kwb">DARK</span> <span class="kwb">ANGELS</span></span>, <span class="tooltip00265" data-tooltip-content="#tooltip_content00265" data-tooltip-anchor="#tooltip_content00265"><span class="kwb">DEATHWATCH</span></span> or <span class="tooltip00266" data-tooltip-content="#tooltip_content00266" data-tooltip-anchor="#tooltip_content00266"><span class="kwb">SPACE</span> <span class="kwb">WOLVES</span></span> keywords, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a> as well.</li></ul>|
000008359|Dark Pacts|Beseeching the Chaos Gods with fanatical fervour, the profane champions of the Heretic Astartes pray for diabolic boons, promising the vilest of offerings in return for their power.|DG|If your Army Faction is <span class="kwb">HERETIC</span> <span class="kwb">ASTARTES</span>, each time a unit with  this ability is selected to shoot or fight, it can make a Dark Pact. If it does, it must first take a <a href="/wh40k10ed/the-rules/core-rules/#Leadership-Tests">Leadership test</a> before any effects of that Dark Pact are resolved; if that test is failed, that unit suffers D3 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>. Then, select one of the following abilities for that unit’s weapons to gain until the end of the phase:<br><ul><li><span class="kwb2 bluefont"><a href="/wh40k10ed/the-rules/core-rules/#Lethal-Hits">[LETHAL HITS]</a></span></li><li><span class="kwb2 bluefont"><a href="/wh40k10ed/the-rules/core-rules/#Sustained-Hits">[SUSTAINED HITS 1]</a></span></li></ul>|
000008369|Reanimation Protocols|The Necron dynasties benefit from the nigh-on supernatural technologies that once saw them dominate the galaxy, perhaps the most unsettling of which are their reanimation protocols. Should a Necron be slain, its body becomes wreathed in an eerie glow. Crawling limbs reattach. Sundered torsos and smashed skulls reform amidst emerald sparks. Witch lights flare back to life within dead eye-lenses and the Necron rises again, shambling back into their battle line. Those Necrons too catastrophically damaged to reform vanish instead, teleported away to their tombs for repair. |NEC|If your Army Faction is <span class="kwb">NECRONS</span>, at the end of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, each unit from your army with this ability that is on the battlefield activates its Reanimation Protocols and reanimates D3 wounds. Each time such a unit reanimates a wound:<br><ul><li>If that unit contains one or more models with fewer than their starting number of wounds remaining, select one of those models; that model regains one lost wound</li><li>If all models in that unit have their starting number of wounds, but that unit is not at its <a href="/wh40k10ed/the-rules/core-rules/#Starting-Strength">Starting Strength</a>, one <a href="/wh40k10ed/the-rules/core-rules/#Destroyed">destroyed</a> model is returned to that unit with one wound remaining.</li></ul>Once such a unit is at its Starting Strength and all of its models have their starting number of wounds, nothing further happens.<br><br><div class="redExample"><b>Example:</b> A unit of <a href="/wh40k10ed/factions/necrons/Lokhust-Destroyers">Lokhust Destroyers</a> (which have a Wounds characteristic of 3) activates its Reanimation Protocols. The unit had a Starting Strength of 3, but currently contains 2 models, and one of those models has lost 1 wound. A 3 is rolled to see how many wounds are reanimated. The first of these reanimated wounds restores the wounded Lokhust Destroyer back to 3 wounds. The second of these reanimated wounds returns the destroyed Lokhust Destroyer to the battlefield with 1 wound remaining. The third of these reanimated wounds restores one of the remaining lost wounds to the same Lokhust Destroyer that was just returned. The unit now contains 3 models, two of which have 3 wounds remaining and one of which has 2 wounds remaining.</div>|
000008377|Voice of Command|Raised and trained to instil unwavering obedience, officers of the Imperial Guard command authority and respect, and issue orders with imperious bellows that cut through the clamour of war.|AM|If your Army Faction is <span class="kwb">ASTRA</span> <span class="kwb">MILITARUM</span>, <span class="tooltip00267" data-tooltip-content="#tooltip_content00267" data-tooltip-anchor="#tooltip_content00267"><span class="kwb">OFFICER</span></span> models with this ability can issue Orders. Each <span class="kwb">OFFICER</span>’s <a href="/wh40k10ed/the-rules/core-rules/#Datasheets-1">datasheet</a> will specify how many Orders it can issue in a battle round and which units are eligible to receive those Orders. Each time an <span class="kwb">OFFICER</span> model issues an Order, select one of the Orders below, then select one eligible friendly unit within 6" of that <span class="kwb">OFFICER</span> model to issue it to. <span class="kwb">OFFICER</span> models can issue Orders in your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a> and at the end of a phase in which they disembarked from a <span class="tooltip00268" data-tooltip-content="#tooltip_content00268" data-tooltip-anchor="#tooltip_content00268"><span class="kwb">TRANSPORT</span></span> or were set up on the battlefield.<br><br>Until the start of your next Command phase, the unit you selected is affected by that Order. Unless otherwise stated, a unit can only be affected by one Order at a time (any Order subsequently issued to that unit replaces the current one). Orders cannot be issued to <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shocked</a> units, and if a unit being affected by an Order becomes Battle-shocked, that Order ceases to affect that unit.<div style="height:8px"></div><div class="BreakInsideAvoid"><table max-width="480px" border="0" cellpadding="3" style="border-width:0px"><tbody><tbody><tr><td><p style="display:block" class="impact18">Move! Move! Move!</p><p>Add 3" to the Move characteristic of models in this unit.</p></td></tr></tbody></tbody></table></div><div class="BreakInsideAvoid"><table max-width="480px" border="0" cellpadding="3" style="border-width:0px"><tbody><tbody><tr><td><p style="display:block" class="impact18">Fix Bayonets!</p><p>Improve the Weapon Skill characteristic of melee weapons equipped by models in this unit by 1.</p></td></tr></tbody></tbody></table></div><div class="BreakInsideAvoid"><table max-width="480px" border="0" cellpadding="3" style="border-width:0px"><tbody><tbody><tr><td><p style="display:block" class="impact18">Take Aim!</p><p>Improve the Ballistic Skill characteristic of ranged weapons equipped by models in this unit by 1.</p></td></tr></tbody></tbody></table></div><div class="BreakInsideAvoid"><table max-width="480px" border="0" cellpadding="3" style="border-width:0px"><tbody><tbody><tr><td><p style="display:block" class="impact18">First Rank, Fire! Second Rank, Fire!</p><p>Improve the Attacks characteristic of <span class="tooltip00205" data-tooltip-content="#tooltip_content00205"><span class="tt kwbu">Rapid</span> <span class="tt kwbu">Fire</span> <span class="tt kwbu">weapons</span></span> equipped by models in this unit by 1.</p></td></tr></tbody></tbody></table></div><div class="BreakInsideAvoid"><table max-width="480px" border="0" cellpadding="3" style="border-width:0px"><tbody><tbody><tr><td><p style="display:block" class="impact18">Take Cover!</p><p>Improve the Save characteristic of models in this unit by 1 (this cannot improve a model’s Save to better than 3+).</p></td></tr></tbody></tbody></table></div><div class="BreakInsideAvoid"><table max-width="480px" border="0" cellpadding="3" style="border-width:0px"><tbody><tbody><tr><td><p style="display:block" class="impact18">Duty and Honour!</p><p>Improve the Leadership and Objective Control characteristics of models in this unit by 1.</p></td></tr></tbody></tbody></table></div>|
