id|name|faction_id|source_id|legend|role|loadout|transport|virtual|leader_head|leader_footer|damaged_w|damaged_description|link|
000001460|Caladius Grav-tank|AC|000000252|The Caladius Grav-tank fuses some of the heaviest firepower in the Custodian Guard arsenal with a highly mobile, resilient chassis. Taking as its principal armament either a twin iliastus accelerator cannon or a twin arachnus heavy blaze cannon, the Caladius excels in a range of battlefield roles, far outmatching more primitive vehicles of its class.|Other|<b>This model is equipped with:</b> twin iliastus accelerator cannon; twin lastrum bolt cannon; armoured hull.||false|||1-5|While this model has 1-5 wounds remaining, each time this model makes an attack, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Caladius-Grav-tank|
000001461|Coronus Grav-carrier|AC|000000252|Coronus Grav-carriers are the primary tactical transports of the Adeptus Custodes. Their repulsor suspensor technology and flare shielding grants them the speed and survivability to engage or evade myriad threats at will, punishing targets with their potent turret weapons as they speed their elite passengers to the forefront of battle.|Other|<b>This model is equipped with:</b> twin arachnus blaze cannon; twin lastrum bolt cannon; armoured hull.|This model has a transport capacity of 8 <span class="tooltip00285" data-tooltip-content="#tooltip_content00285" data-tooltip-anchor="#tooltip_content00285"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">INFANTRY</span></span> models.|false|||1-5|While this model has 1-5 wounds remaining, each time this model makes an attack, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Coronus-Grav-carrier|
000001479|Telemon Heavy Dreadnought|AC|000000252|The honour of interment within a Telemon Heavy Dreadnought falls to the most lauded of Custodians, whose battle prowess is deemed a match for the Telemon’s sheer power. Encased within, such souls fight on alongside their brethren, whether surging forward with righteous fury or repelling assaults with their spiculus bolt launcher.|Other|<b>This model is equipped with:</b> 2 iliastus accelerator culverins; spiculus bolt launcher; armoured feet.||false|||1-4|While this model has 1-4 wounds remaining, each time this model makes an attack, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Telemon-Heavy-Dreadnought|
000001557|Contemptor-galatus Dreadnought|AC|000000252|Like the Sentinel Guard of the ancient Legio Custodes, the Contemptor-Galatus is armed with a power blade and battle shield, albeit of a type greatly superior in size and potency. Coupled with the already resilient Contemptor chassis, this wargear enables the Galatus to stride through the inferno of battle with impunity, slaying elite infantry and crippling vehicles.|Other|<b>This model is equipped with:</b> Galatus warblade.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Contemptor-galatus-Dreadnought|
000001558|Aquilon Custodians|AC|000000252|Aquilon Custodians are the heavy assault infantry of the Custodian Guard, each warrior imbued with armour and wargear of ancient provenance and impeccable craftsmanship. Encased within flexible but highly durable Aquilon-pattern Terminator armour, they stride through the most perilous war zones to mete out death.|Other|<b>Every model is equipped with:</b> lastrum storm bolter; solerite power gauntlet.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Aquilon-Custodians|
000001559|Custodian Guard With Adrasite And Pyrithite Spears|AC|000000252|The signature armaments of the Custodian Guard combine deadly power blades and integrated ranged weapons. While guardian spears are the most recognisable of these potent devices, for specialised tasks the bolt weapons they mount can be exchanged for the adrathic destructors of adrasite spears or the melta beams of pyrithite spears.|Other|<b>Every model is equipped with:</b> adrasite spear.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Custodian-Guard-With-Adrasite-And-Pyrithite-Spears|
000001560|Agamatus Custodians|AC|000000252|Agamatus Custodians take Gyrfalcon-pattern jetbikes as their steeds, the machines’ power supporting the heavy armour of their riders and the powerful lastrum bolt cannon or other arcane weaponry. Closing with the enemy, Agamatus Custodians unleash this firepower with precision, before dealing a death blow with their interceptor lances.|Other|<b>Every model is equipped with:</b> lastrum bolt cannon; interceptor lance.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Agamatus-Custodians|
000001561|Venatari Custodians|AC|000000252|The role of Venatari Custodian is vaunted as a high honour within the Adeptus Custodes, bestowed upon those with the most aquiline combat senses. These airborne hunting squads make masterful use of their archeotech jump packs to strike from the skies, swooping into the enemy’s midst to deliver swift ruin with their pistols and polearms.|Other|<b>Every model is equipped with:</b> Venatari lance.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Venatari-Custodians|
000001562|Pallas Grav-attack|AC|000000252|Designed as a highly manoeuvrable hunter-killer, the Pallas Grav-attack provides the Adeptus Custodes with a rapid strike capacity, using its agility and versatile twin arachnus blaze cannon to inflict devastating hit-and-run assaults on the enemy, or to hunt down fleeing targets that have evaded Custodes ground troops.|Other|<b>This model is equipped with:</b> twin arachnus blaze cannon; armoured hull.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Pallas-Grav-attack|
000001563|Sagittarum Custodians|AC|000000252|In contrast with most warriors of the Adeptus Custodes, the Sagittarum Guard specialise in the slaying of foes at range, laying down fearsome volleys from their adrastus bolt calivers or using the same weapons to obliterate closer threats with pinpoint disintegration beams, switching between firing modes with faultless skill.|Other|<b>Every model is equipped with:</b> adrastus bolt caliver; misericordia.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Sagittarum-Custodians|
000001564|Orion Assault Dropship|AC|000000252|The heavily armoured Orion is a superlative assault craft designed to weather attacks while it deploys its formidable cargo of Custodian Guard. With bolt and energy weapons blazing, the Orion swiftly clears a landing zone and unleashes its passengers, before soaring skyward to rain death upon any other threats that enter its sights.|Other|<b>This model is equipped with:</b> 2 arachnus heavy blaze cannons; 2 twin lastrum bolt cannons; 2 spiculus heavy bolt launchers; armoured hull.|This model has a transport capacity of 12 <span class="tooltip00285" data-tooltip-content="#tooltip_content00285" data-tooltip-anchor="#tooltip_content00285"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">INFANTRY</span></span> models. This model can also transport 1 <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Venerable-Contemptor-Dreadnought"><span class="kwb kwbo">VENERABLE</span> <span class="kwb kwbo">CONTEMPTOR</span> <span class="kwb kwbo">DREADNOUGHT</span></a>, 1 <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Contemptor-achillus-Dreadnought"><span class="kwb kwbo">CONTEMPTOR-ACHILLUS</span> <span class="kwb kwbo">DREADNOUGHT</span></a> or 1 <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Contemptor-galatus-Dreadnought"><span class="kwb kwbo">CONTEMPTOR</span> <span class="kwb kwbo">GALATUS-DREADNOUGHT</span></a>; while doing so, its transport capacity is reduced to 6 <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">INFANTRY</span> models.|false|||1-7|While this model has 1-7 wounds remaining, each time this model makes an attack, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Orion-Assault-Dropship|
000001680|Ares Gunship|AC|000000252|The Ares Gunship first earned its reputation on Ancient Terra, and has quashed the Emperor’s enemies on hundreds of worlds since. Most terrifying of the Ares’ offensive capabilities is the arachnus magna- blaze cannon, whose extreme energies can pierce the densest armour, leaving a trail of wrecks and corpses wherever the Ares deploys.|Other|<b>This model is equipped with:</b> 2 arachnus heavy blaze cannons; arachnus magna-blaze cannon; armoured hull.||false|||1-7|While this model has 1-7 wounds remaining, each time this model makes an attack, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Ares-Gunship|
000002088|Aleya|AC|000000024|Aleya is a veteran of her order and is a ferocious and dedicated hunter of witches and sorcerers. Over many years she has developed incredible tactical perception, as well as a deep knowledge of her quarry. She employs these skills to seek out rogue psykers, cutting them down with sweeps of her blade, Somnus.|Characters|<b>This model is equipped with:</b> Somnus.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Aleya|
000002518|Blade Champion|AC|000000024|A Blade Champion is a living weapon in the Emperor’s hand. His role is to identify the greatest battlefield threat – be that a mighty leader, a host of killers or a deadly war engine – then to employ his archeotech blades and specialised fighting styles to ensure their swift and absolute destruction.|Characters|<b>This model is equipped with:</b> vaultswords.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Blade-Champion|
000002519|Valerian|AC|000000024|A headstrong warrior, Valerian is relatively new to the Custodes, but is already marked for greatness. His urge to bring death to the foes of the Emperor beyond Terra is much valued in these dark times, and countless enemies have fallen to his guardian spear, Gnosis.|Characters|<b>This model is equipped with:</b> Gnosis.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Valerian|
000002520|Knight-centura|AC|000000024|Knight-Centuras are the leaders of Sisters of Silence cadres and the guardians of their traditions. They have earned the respect of their Sisters through years of service, impeccable fighting skills, immense power as Nulls and encyclopaedic knowledge of the witch and the sorcerer.|Characters|<b>This model is equipped with:</b> executioner greatblade.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Knight-centura|
000002521|Prosecutors|AC|000000024|Protected from the malevolence of witches by their rare anti-psychic mutation, and shielded from the bullets and blades of the foe by their finely crafted power armour, Prosecutors advance unflinching into the heart of battle. Their bolters thunder ceaselessly, each explosive shell ending another heretic life.|Other|<b>Every model is equipped with:</b> boltgun; close combat weapon.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Prosecutors|
000002522|Vigilators|AC|000000024|The surest way to bring an end to a witch’s malefic rampage is to strike their head from their body. Such is the doctrine of the Vigilators, who ghost across the battlefield before charging headlong into battle, their double-handed power blades singing a keening song of death.|Other|<b>Every model is equipped with:</b> executioner greatblade.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Vigilators|
000002523|Witchseekers|AC|000000024|Witchseekers wield sanctified flamers as they hunt witches through tangled corridors and muddy trenchworks alike. Closing with their heretical quarry, they unleash a roaring conflagration to immolate the foe, as well as any pyre.|Other|<b>Every model is equipped with:</b> Witchseeker flamer; close combat weapon.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Witchseekers|
000002524|Anathema Psykana Rhino|AC|000000024|The Rhinos of the Silent Sisterhood are more than just armoured personnel carriers. Many have served the Imperium for hundreds, if not thousands of years. Highly rugged vehicles, their spacious capacity and powerful engines help them to safely carry their deadly cargo of Sisters into the fiercest of battles.|Dedicated Transports|<b>This model is equipped with:</b> storm bolter; armoured tracks.|This model has a transport capacity of 12 <span class="tooltip00286" data-tooltip-content="#tooltip_content00286" data-tooltip-anchor="#tooltip_content00286"><span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span> <span class="kwb">INFANTRY</span></span> models.|false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Anathema-Psykana-Rhino|
000000838|Belisarius Cawl|AdM|000000015|Belisarius Cawl’s war form is a multi-limbed, biomechanical hybrid. Advanced bionics grant him immense strength and resilience, while snaking tendrils rapidly repair his cybernetic body. For ten thousand years, Cawl has eradicated the Imperium’s enemies, and he leads the Machine God’s devotees in holy acquisition still.|Characters|<b>This model is equipped with:</b> solar atomiser; arc scourge; Cawl’s Omnissian axe; mechadendrite hive.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Belisarius-Cawl|
000000839|Tech-priest Dominus|AdM|000000015|Tech-Priests Dominus are the theocratic generals of a forge world’s armies. They lead congregations of warriors in binharic prayer and direct those beneath them with precision strategies. They are masters of machines, as capable of healing damage to their creations as they are at destroying the enemy’s corrupted engines.|Characters|<b>This model is equipped with:</b> macrostubber; volkite blaster; Omnissian axe.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Tech-priest-Dominus|
000000840|Tech-priest Enginseer|AdM|000000015|The most widespread of a forge world’s priesthood, Enginseers maintain many of the Imperium’s mechanisms, such as reactors, battle tanks and even starships. They have an intuitive connection with holy apparatuses, and can awaken the most recalcitrant of engine spirits with whispered machine cant.|Characters|<b>This model is equipped with:</b> Mechanicus pistol; Omnissian axe; servo-arm.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Tech-priest-Enginseer|
000000841|Kataphron Breachers|AdM|000000015|Kataphron Breachers are large battle servitors that grind forward on heavy tracks. They are ideal tools for smashing open enemy battle lines and bastions with blasts from heavy weapons and blows from combat attachments, while any enemy firepower is deflected by thick armour and absorbed by layered bionics.|Other|<b>Every model is equipped with:</b> heavy arc rifle; arc claw.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Kataphron-Breachers|
000000842|Kataphron Destroyers|AdM|000000015|These biomechanical constructs operate as mobile heavy weapons platforms, bearing large esoteric cannons as well as close defence armaments. Their ballistic subroutines can be directed to operate independently of preprogrammed battle protocols, making them flexible tools of destruction.|Other|<b>Every model is equipped with:</b> heavy grav-cannon; phosphor blaster; close combat weapon.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Kataphron-Destroyers|
000000843|Fulgurite Electro-priests|AdM|000000015|Crackling with power stolen from those they slay, Fulgurite Electro- Priests are fanatical cultists of the Machine God. With their heavy, copper-bound staves, they smite blasphemers that waste the Motive Force, leeching it from heretic warriors and harnessing the holy energy in their capacitors where it empowers their voltagheist field.|Other|<b>Every model is equipped with:</b> electroleech stave.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Fulgurite-Electro-priests|
000000844|Corpuscarii Electro-priests|AdM|000000015|Electro-Priests of the Corpuscarii faction build up huge electrical potential as they zealously chant their canticles of battle. They conduct the Motive Force through their bodies, eager to share its illumination, releasing it from their gauntlets in coruscating arcs of electrical power that leap from target to target.|Other|<b>Every model is equipped with:</b> electrostatic gauntlets.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Corpuscarii-Electro-priests|
000000845|Kastelan Robots|AdM|000000015|Kastelan Robots are giant automata from Mankind’s dark past, shielded with thick armour and advanced force fields. Heeding preprogrammed doctrines without fail, Kastelans are bastions in defence and nigh unstoppable on the attack, unleashing heavy firepower and bludgeoning swipes with their giant fists.|Other|<b>Every model is equipped with:</b> incendine combustor; twin Kastelan fist.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Kastelan-Robots|
000000846|Cybernetica Datasmith|AdM|000000015|Datasmiths optimise the programming of their robotic charges. These Tech-Priests employ rituals and binharic hymns to bless the doctrina wafers through which they alter the robots’ protocols, all the while laying waste to the enemies of the Omnissiah with blasts of ionising radiation from their archeotech pistols.|Characters|<b>This model is equipped with:</b> Mechanicus pistol; power fist.||false||You must <a href="/wh40k10ed/the-rules/core-rules/#Attached-Units">attach</a> this model to a <span class="kwb">KASTELAN</span> <span class="kwb">ROBOTS</span> unit, even if one or more other <span class="kwb">CYBERNETICA</span> <span class="kwb">DATASMITH</span> models have already been attached to it. In such cases, if that <a href="/wh40k10ed/the-rules/core-rules/#Attached-Units">Bodyguard</a> unit is <a href="/wh40k10ed/the-rules/core-rules/#Destroyed">destroyed</a>, the Leader units attached to it become separate units with their original <a href="/wh40k10ed/the-rules/core-rules/#Starting-Strength">Starting Strengths</a>. If you cannot attach this model to a <span class="kwb">KASTELAN</span> <span class="kwb">ROBOTS</span> unit, this model cannot be deployed and counts as having been destroyed during the first <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>. While attached to a <span class="kwb">KASTELAN</span> <span class="kwb">ROBOTS</span> unit, this model loses the <span class="kwb">INFANTRY</span> keyword.|||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Cybernetica-Datasmith|
000000847|Servitors|AdM|000000250|Ubiquitous throughout the Imperium, mindless Servitors also accompany their priestly masters to war and aid them in heavy-duty technical endeavours. Protected by industrial cybernetics, their huge servo-arms make for brutal weapons, while some are implanted with ranged weaponry with which they defend their creators’ holy work.|Other|<b>Every model is equipped with:</b> Servitor’s servo-arm.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Servitors|
000000848|Skitarii Rangers|AdM|000000015|Rangers relentlessly pursue their quarry over months or even years, tracking their prey unto death. They bear antique, long-barrelled galvanic rifles, whose energised ammunition transfers a coruscating charge when it hits, leaving the prey a smoking husk while the Rangers are already lining up their next target.|Battleline|<b>Every model is equipped with:</b> galvanic rifle; close combat weapon.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Skitarii-Rangers|
000000849|Skitarii Vanguard|AdM|000000015|The hyper-irradiated shot unleashed by the Skitarii Vanguard’s carbines ensure those that would otherwise survive the injury still sicken and die. Vanguard are infused with this radiation, emitting a debilitating aura they themselves are inured to. This hardens them to fight in the most toxic war zones to defend the Tech-Priests’ interests.|Battleline|<b>Every model is equipped with:</b> radium carbine; close combat weapon.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Skitarii-Vanguard|
000000850|Sicarian Infiltrators|AdM|000000015|Sicarian Infiltrators broadcast disruptive frequencies that scramble augurs and painfully disrupt enemy senses. Thus obscured, the Infiltrators perform reconnaissance and outflanking missions, intensifying their sensory barrage to crash enemy comms and attack unseen through the resultant anarchy.|Other|<b>Every model is equipped with:</b> stubcarbine; power weapon.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Sicarian-Infiltrators|
000000851|Sicarian Ruststalkers|AdM|000000015|Ruststalkers are unleashed as weapons of fear, to hunt down errant servo units and heretic blasphemers, or to pounce on isolated hostile units and assassinate enemy leaders. Like their fellow Sicarians, Ruststalkers’ stilt-like limbs enable them to run down their prey before carving them apart with micro-vibrating transonic blades.|Other|<b>Every model is equipped with:</b> transonic razor and chordclaw.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Sicarian-Ruststalkers|
000000852|Ironstrider Ballistarii|AdM|000000015|Ironstrider Ballistarii are swift combat walkers piloted by veteran marksmen. They smoothly pick their way across the battlefield before invoking the fully awakened machine spirits of their weapons to acquire rapidly cogitated firing solutions. Their destructive firepower unleashed, they redeploy to hunt for fresh targets.|Other|<b>Every model is equipped with:</b> twin cognis autocannon; Ironstrider feet.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Ironstrider-Ballistarii|
000000853|Sydonian Dragoons With Taser Lances|AdM|000000015|Striding through a mist of their own sacred incense, the long-limbed engines ridden by Sydonian Dragoons are forever in motion. Dragoons mark their quarry with shots of glowing phosphor or irradiated slugs, allowing them to detect their prey through the cloying mist and home in on them with a thunderous stampede.|Other|<b>Every model is equipped with:</b> phosphor serpenta; taser lance.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Sydonian-Dragoons-With-Taser-Lances|
000000854|Onager Dunecrawler|AdM|000000015|The Onager Dunecrawler’s flexible armaments can blast apart squadrons of aircraft or atomise elite infantry in beams of blinding energy. They are versatile heavy weapons platforms, well-shielded and easily able to advance alongside Skitarii as their multiple limbs propel them over treacherous obstacles.|Other|<b>This model is equipped with:</b> eradication beamer; Dunecrawler legs.||false|||1-4|While this model has 1-4 wounds remaining, each time this model makes an attack, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Onager-Dunecrawler|
000001525|Secutarii Hoplites|AdM|000000251|Secutarii Hoplites are defensive troops able to endure the most hazardous battlefields thanks to the crackling energy barriers generated by their interlocking Kyropatris field generators. The power of these surgically implanted devices is channelled and amplified by the Hoplites’ unique shields, which allow them to withstand phenomenal amounts of enemy firepower while striking back with their potent arc lances.|Other|<b>Every model is equipped with:</b> arc lance.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Secutarii-Hoplites|
000001526|Secutarii Peltasts|AdM|000000251|Secutarii Peltasts are specialised Adeptus Mechanicus ground troops principally employed to saturate targets with concentrated firepower from their galvanic casters, neutralising any threats to valuable Mechanicus assets. Like the Skitarii infantry they resemble, Peltasts are adaptable and mobile soldiers, and are often deployed to reach, encircle and defend their masters’ fallen god-engines.|Other|<b>Every model is equipped with:</b> galvanic caster; close combat weapon.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Secutarii-Peltasts|
000001533|Terrax-pattern Termite|AdM|000000251|Originally designed on Terra for the task of rooting out burrowing xenos species during the Great Crusade, canny commanders quickly found use for the Termite Assault Drill in tearing through the foundations of enemy bastions or emerging behind barricades or trench lines to lay waste to their defenders.|Dedicated Transports|<b>This model is equipped with:</b> Terrax melta cutter; 2 combi-bolters; Termite drill.|This model has a transport capacity of 12 <span class="tooltip00287" data-tooltip-content="#tooltip_content00287" data-tooltip-anchor="#tooltip_content00287"><span class="kwb">ADEPTUS</span> <span class="kwb">MECHANICUS</span> <span class="kwb">INFANTRY</span></span> models. It cannot transport <span class="tooltip01023" data-tooltip-content="#tooltip_content01023" data-tooltip-anchor="#tooltip_content01023"><span class="kwb">JUMP</span> <span class="kwb">PACK</span></span> or <span class="tooltip01024" data-tooltip-content="#tooltip_content01024" data-tooltip-anchor="#tooltip_content01024"><span class="kwb">KATAPHRON</span></span> models.|false|||1-5|While this model has 1-5 wounds remaining, each time this model makes an attack, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Terrax-pattern-Termite|
000001580|Tech-priest Manipulus|AdM|000000015|Amongst the augmentations of a Tech-Priest Manipulus is a galvanic cell from which they channel powerful charges of the Motive Force. They drain power sources dry and use the energy to overcharge the cells of their warriors’ armaments, all while defending their divine work with blasts from their own arcane weapons.|Characters|<b>This model is equipped with:</b> magnarail lance; Omnissian staff.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus/Tech-priest-Manipulus|
