datasheet_id|line|description|cost|
000000098|3|3 models|90|
000000099|1|1 model|70|
000000103|1|3 models|100|
000000103|2|6 models|200|
000000104|1|5 models|200|
000000104|2|10 models|400|
000000107|1|1 model|110|
000000110|1|1 model|100|
000000111|1|1 model|130|
000000112|1|1 model|75|
000000113|1|1 model|255|
000000114|1|1 model|125|
000000115|1|1 model|75|
000000116|1|3 models|80|
000000116|2|6 models|160|
000000116|3|Attack Bike|+55|
000000117|1|1 model|135|
000000118|1|5 models|180|
000000118|2|10 models|360|
000000119|1|1 model|70|
000000120|1|1 model|165|
000000121|1|1 model|95|
000000122|1|1 model|75|
000000123|1|1 model|220|
000000124|1|1 model|115|
000000125|1|3 models|120|
000000125|2|6 models|240|
000000126|1|5 models|90|
000000126|2|10 models|180|
000000127|1|1 model|95|
000000128|1|5 models|100|
000000128|2|10 models|200|
000000129|1|1 model|95|
000000131|1|1 model|215|
000000132|1|1 model|70|
000000134|1|4 models|55|
000000135|1|1 model|95|
000000136|1|1 model|160|
000000137|1|3 models|75|
000000137|2|6 models|150|
000000138|1|1 model|345|
000000139|1|1 model|840|
000000140|1|1 model|55|
000000146|1|1 model|100|
000000147|1|5 models|110|
000000147|2|10 models|220|
000000148|1|1 model|40|
000000151|1|1 model|130|
000000152|1|1 model|75|
000000153|1|1 model|90|
000000154|1|1 model|170|
000000155|1|1 model|135|
000000156|1|1 model|140|
000000157|1|1 model|105|
000000158|1|1 model|90|
000000159|1|1 model|135|
000000160|1|1 model|75|
000000164|1|1 model|110|
000000165|1|3 models|130|
000000165|2|6 models|260|
000000166|1|1 model|180|
000000167|1|1 model|150|
000000168|1|1 model|135|
000000169|1|1 model|90|
000000218|1|1 model|115|
000000219|1|1 model|85|
000000225|1|1 model|70|
000000226|1|1 model|75|
000000230|1|5 models|180|
000000230|2|10 models|360|
000000231|1|5 models|250|
000000238|1|1 model|115|
000000239|1|1 model|195|
000000240|1|1 model|210|
000000241|1|3 models|90|
000000241|2|6 models|180|
000000242|1|1 model|120|
000000243|1|1 model|480|
000000282|1|1 model|115|
000000283|1|1 model|180|
000000284|1|1 model|100|
000000285|1|1 model|90|
000000286|1|1 model|65|
000000287|1|1 model|85|
000000288|1|1 model|75|
000000292|1|1 model|85|
000000297|1|1 model|70|
000000300|1|1 model|75|
000000301|1|1 model|80|
000000302|1|1 model|190|
000000303|1|10 models|140|
000000303|2|15 models|210|
000000304|1|1 model|50|
000000305|1|5 models|85|
000000305|2|10 models|170|
000000306|1|1 model|60|
000000308|1|1 model|95|
000000310|1|5 models|80|
000000310|2|10 models|160|
000000311|1|5 models|95|
000000311|2|10 models|190|
000000314|1|1 model|170|
000000315|1|5 models|85|
000000315|2|10 models|170|
000000317|1|1 model|95|
000000318|1|5 models|185|
000000318|2|10 models|370|
000000321|1|1 model|250|
000000322|1|3 models|120|
000000322|2|6 models|240|
000000323|1|5 models|30|
000000323|2|10 models|60|
000000324|1|5 models|90|
000000324|2|10 models|165|
000000324|3|15 models|240|
000000325|1|1 model|300|
000000326|1|5 models|120|
000000326|2|6 models|145|
000000358|1|1 model|180|
000000373|1|1 model|125|
000000374|1|1 model|95|
000000375|1|1 model|95|
000000376|1|1 model|90|
000000377|1|1 model|90|
000000379|1|1 model|80|
000000380|1|1 model|90|
000000381|1|5 models|120|
000000381|2|10 models|240|
000000382|1|5 models|200|
000000382|2|10 models|420|
000000383|1|5 models|125|
000000383|2|10 models|250|
000000384|1|5 models|215|
000000384|2|10 models|450|
000000387|1|5 models|130|
000000387|2|10 models|260|
000000388|1|5 models|120|
000000388|2|10 models|240|
000000389|1|1 model|210|
000000390|1|1 model|160|
000000391|1|1 model|240|
000000392|1|1 model|220|
000000393|1|1 model|285|
000000395|1|1 model|85|
000000396|1|1 model|75|
000000397|1|4 models|50|
000000398|1|1 model|280|
000000399|1|1 model|70|
000000400|1|1 model|155|
000000402|1|1 model|95|
000000403|1|4 models|70|
000000403|2|8 models|140|
000000403|3|12 models|210|
000000404|1|1 model|50|
000000405|1|1 model|50|
000000406|1|1 model|95|
000000407|1|1 model|100|
000000408|1|1 model|50|
000000409|1|3 models|65|
000000410|1|1 model|60|
000000411|1|10 models|75|
000000412|1|10 models|100|
000000413|1|10 models|65|
000000413|2|20 models|130|
000000414|1|1 model|40|
000000414|2|2 models|60|
000000414|3|3 models|90|
000000415|1|5 models|40|
000000415|2|10 models|80|
000000417|1|3 models|60|
000000417|2|6 models|120|
000000418|1|3 models|200|
000000418|2|6 models|400|
000000420|1|1 model|160|
000000421|1|1 model|190|
000000422|1|10 models|90|
000000423|1|1 model|60|
000000423|2|2 models|120|
000000423|3|3 models|180|
000000424|1|1 model|85|
000000425|1|1 model|170|
000000426|1|1 model|160|
000000427|1|5 models|65|
000000427|2|10 models|130|
000000428|1|1 model|70|
000000430|1|1 model|140|
000000431|1|1 model|140|
000000432|1|1 model|145|
000000433|1|1 model|90|
000000433|2|2 models|180|
000000433|3|3 models|300|
000000434|1|1 model|400|
000000435|1|1 model|85|
000000436|1|1 model|85|
000000436|2|Tidewall Defence Platform|+20|
000000437|1|1 model|90|
000000439|1|1 model|80|
000000443|1|1 model|55|
000000443|2|2 models|110|
000000444|1|1 model|210|
000000445|1|1 model|200|
000000446|1|1 model|790|
000000447|1|2 models|80|
000000447|2|4 models|160|
000000448|1|1 model|60|
000000449|1|2 models|45|
000000452|1|2 models|160|
000000453|1|1 model|220|
000000454|1|1 model|325|
000000455|1|1 model|315|
000000456|1|1 model|275|
000000457|1|1 model|2100|
000000458|1|1 model|50|
000000459|1|1 model|50|
000000460|1|1 model|235|
000000461|1|1 model|240|
000000462|1|1 model|150|
000000463|1|1 model|80|
000000465|1|1 model|175|
000000467|1|5 models|75|
000000467|2|10 models|150|
000000468|1|10 models|60|
000000468|2|20 models|120|
000000469|1|10 models|65|
000000469|2|20 models|130|
000000470|1|1 model|25|
000000470|2|2 models|40|
000000470|3|3 models|50|
000000471|1|3 models|80|
000000471|2|6 models|160|
000000472|1|3 models|100|
000000472|2|6 models|200|
000000473|1|1 model|60|
000000474|1|1 model|170|
000000475|1|3 models|100|
000000475|2|6 models|200|
000000476|1|3 models|70|
000000476|2|6 models|140|
000000477|1|1 model|40|
000000477|2|2 models|70|
000000477|3|3 models|105|
000000478|1|1 model|125|
000000479|1|1 model|80|
000000482|1|3 models|75|
000000482|2|6 models|150|
000000483|1|3 models|60|
000000484|1|10 models|85|
000000484|2|20 models|170|
000000485|1|1 model|215|
000000486|1|1 model|200|
000000487|1|1 model|30|
000000487|2|2 models|60|
000000488|1|3 models|55|
000000488|2|6 models|110|
000000489|1|1 model|105|
000000490|1|1 model|115|
000000490|2|2 models|230|
000000491|1|1 model|50|
000000491|2|2 models|100|
000000491|3|3 models|150|
000000493|1|1 model|150|
000000494|1|1 model|145|
000000495|1|1 model|135|
000000496|1|1 model|190|
000000497|1|1 model|150|
000000498|1|1 model|145|
000000499|1|1 model|75|
000000500|1|1 model|200|
000000503|1|1 model|340|
000000504|1|1 model|610|
000000505|1|1 model|810|
000000506|1|1 model|330|
000000507|1|1 model|75|
000000508|1|1 model|50|
000000509|1|1 model|80|
000000510|1|1 model|50|
000000511|1|5 models|65|
000000511|2|10 models|130|
000000512|1|10 models|65|
000000512|2|20 models|130|
000000513|1|5 models|80|
000000513|2|10 models|160|
000000514|1|5 models|135|
000000514|2|10 models|300|
000000515|1|5 models|75|
000000515|2|10 models|150|
000000516|1|1 model|85|
000000521|1|1 model|120|
000000522|1|1 model|100|
000000523|1|1 model|85|
000000524|1|1 model|65|
000000527|1|1 model|85|
000000528|1|1 model|85|
000000530|1|1 model|80|
000000531|1|1 model|95|
000000532|1|1 model|75|
000000533|1|1 model|120|
000000534|1|10 models|90|
000000534|2|20 models|200|
000000535|1|5 models|70|
000000535|2|10 models|150|
000000536|1|5 models|85|
000000536|2|10 models|170|
000000537|1|5 models|65|
000000537|2|10 models|130|
000000538|1|5 models|60|
000000538|2|10 models|120|
000000539|1|5 models|100|
000000539|2|10 models|200|
000000540|1|1 model|110|
000000541|1|1 model|305|
000000542|1|1 model|265|
000000543|1|1 model|115|
000000544|1|1 model|145|
000000545|1|1 model|230|
000000546|1|3 models|115|
000000546|2|6 models|230|
000000548|1|3 models|75|
000000548|2|6 models|150|
000000551|1|1 model|75|
000000551|2|2 models|150|
000000552|1|1 model|400|
000000553|1|1 model|105|
000000554|1|1 model|190|
000000555|1|1 model|295|
000000556|1|1 model|425|
000000557|1|1 model|300|
000000558|1|1 model|130|
000000559|1|3 models|85|
000000559|2|6 models|170|
000000560|1|1 model|115|
000000561|1|1 model|140|
000000562|1|1 model|120|
000000564|1|1 model|130|
000000567|1|1 model|210|
000000568|1|1 model|110|
000000569|1|1 model|100|
000000570|1|1 model|70|
000000571|1|1 model|115|
000000572|1|1 model|90|
000000573|1|1 model|90|
000000574|1|1 model|130|
000000575|1|1 model|125|
000000576|1|1 model|115|
000000577|1|1 model|75|
000000580|1|1 model|90|
000000581|1|1 model|335|
000000582|1|1 model|80|
000000583|1|1 model|90|
000000584|1|2 models|55|
000000584|2|4 models|110|
000000585|1|1 model|45|
000000586|1|2 models|90|
000000586|2|3 models|135|
000000587|1|1 model|55|
000000588|1|1 model|65|
000000589|1|11 models|100|
000000590|1|11 models|100|
000000591|1|3 models|80|
000000591|2|6 models|160|
000000591|3|9 models|240|
000000592|1|5 models|55|
000000592|2|10 models|110|
000000593|1|5 models|70|
000000593|2|10 models|140|
000000594|1|5 models|70|
000000594|2|10 models|140|
000000595|1|5 models|65|
000000595|2|10 models|130|
000000596|1|5 models|90|
000000596|2|10 models|180|
000000597|1|5 models|180|
000000597|2|10 models|380|
000000598|1|5 models|160|
000000598|2|10 models|340|
000000599|1|1 model|110|
000000600|1|5 models|85|
000000600|2|10 models|170|
000000601|1|5 models|125|
000000601|2|10 models|250|
000000602|1|3 models|90|
000000602|2|6 models|180|
000000603|1|1 model|160|
000000605|1|1 model|75|
000000606|1|1 model|155|
000000607|1|5 models|85|
000000607|2|10 models|170|
000000608|1|1 model|135|
000000609|1|1 model|130|
000000610|1|1 model|170|
000000611|1|1 model|210|
000000612|1|1 model|110|
000000613|1|1 model|145|
000000614|1|1 model|495|
000000615|1|5 Shadow Spectres|115|
000000615|2|10 Shadow Spectres|230|
000000615|3|Shadow Spectre Exarch|+30|
000000616|1|1 model|95|
000000617|1|1 model|160|
000000618|1|1 model|100|
000000619|1|1 model|145|
000000620|1|1 model|180|
000000621|1|1 model|410|
000000622|1|1 model|415|
000000623|1|1 model|150|
000000624|1|1 model|175|
000000625|1|1 model|430|
000000626|1|1 model|460|
000000627|1|1 model|490|
000000628|1|1 model|1100|
000000629|1|3 models|105|
000000629|2|4 models|140|
000000629|3|6 models|210|
000000629|4|7 models|245|
000000630|1|1 model|105|
000000631|1|1 model|2100|
000000632|1|5 models|125|
000000632|2|6 models|150|
000000632|3|10 models|250|
000000632|4|11 models|275|
000000633|1|5 models|125|
000000633|2|6 models|150|
000000633|3|10 models|250|
000000633|4|11 models|275|
000000634|1|1 model|85|
000000639|1|1 model|45|
000000640|1|1 model|95|
000000641|1|1 model|60|
000000642|1|1 model|80|
000000643|1|1 model|85|
000000644|1|10 models|110|
000000646|1|10 models|90|
000000648|1|5 models|85|
000000648|2|10 models|170|
000000649|1|5 models|70|
000000649|2|10 models|130|
000000650|1|5 models|55|
000000650|2|10 models|110|
000000651|1|3 models|80|
000000651|2|6 models|170|
000000652|1|7 models|120|
000000656|1|1 model|80|
000000657|1|1 model|70|
000000658|1|3 models|65|
000000658|2|6 models|120|
000000659|1|5 models|75|
000000659|2|10 models|150|
000000660|1|1 model|170|
000000661|1|1 model|235|
000000662|1|5 models|130|
000000662|2|10 models|180|
000000663|1|1 model|80|
000000663|2|2 models|160|
000000664|1|1 model|50|
000000664|2|2 models|100|
000000665|1|1 model|110|
000000666|1|1 model|95|
000000667|1|1 model|230|
000000680|1|1 model|225|
000000684|1|9-10 models|60|
000000684|2|18-20 models|120|
000000686|1|3 models|50|
000000690|1|1 model|55|
000000690|2|2 models|110|
000000690|3|3 models|165|
000000691|1|1 model|65|
000000691|2|2 models|130|
000000691|3|3 models|195|
000000692|1|1 model|85|
000000693|1|1 model|65|
000000694|1|1 model|125|
000000695|1|1 model|140|
000000696|1|1 model|85|
000000697|1|1 model|110|
000000698|1|1 model|175|
000000699|1|1 model|145|
000000700|1|1 model|170|
000000701|1|1 model|200|
000000702|1|1 model|480|
000000703|1|1 model|450|
000000704|1|1 model|480|
000000705|1|1 model|455|
000000706|1|1 model|450|
000000707|1|1 model|440|
000000708|1|1 model|460|
000000709|1|1 model|495|
000000713|1|1 model|55|
000000714|1|1 model|40|
000000716|1|1 model|30|
000000719|1|5 models|70|
000000721|1|1 model|90|
000000722|1|3 models|60|
000000722|2|6 models|130|
000000723|1|3 models|110|
000000723|2|6 models|220|
000000724|1|5 models|60|
000000724|2|10 models|120|
000000725|1|1 model|60|
000000727|1|1 model|190|
000000728|1|1 model|80|
000000729|1|1 model|80|
000000730|1|1 model|110|
000000731|1|1 model|40|
000000733|1|1 model|80|
000000735|1|1 model|95|
000000736|1|1 model|50|
000000737|1|1 model|55|
000000739|1|1 model|105|
000000740|1|1 model|160|
000000741|1|1 model|25|
000000743|1|1 model|120|
000000744|1|1 model|115|
000000745|1|1 model|50|
000000746|1|1 model|50|
000000747|1|1 model|95|
000000751|1|1 model|270|
000000752|1|1 model|310|
000000753|1|1 model|250|
000000754|1|1 model|235|
000000755|1|1 model|95|
000000756|1|1 model|125|
000000757|1|1 model|35|
000000757|2|2 models|70|
000000757|3|3 models|105|
000000758|1|1 model|45|
000000758|2|2 models|90|
000000759|1|1 model|55|
000000760|1|1 model|180|
000000762|1|1 model|40|
000000762|2|2 models|80|
000000762|3|3 models|120|
000000763|1|1 model|415|
000000764|1|1 model|480|
000000766|1|1 model|180|
000000767|1|1 model|325|
000000768|1|1 model|275|
000000769|1|1 model|310|
000000770|1|1 model|310|
000000771|1|1 model|285|
000000772|1|1 model|310|
000000773|1|1 model|345|
000000774|1|1 model|375|
000000775|1|1 model|225|
000000776|1|1 model|275|
000000777|1|1 model|285|
000000778|1|1 model|120|
000000779|1|1 model|95|
000000780|1|1 model|130|
000000781|1|1 model|130|
000000783|1|1 model|255|
000000784|1|1 model|225|
000000786|1|1 model|220|
000000838|1|1 model|150|
000000839|1|1 model|70|
000000840|1|1 model|55|
000000841|1|3 models|160|
000000841|2|6 models|320|
000000842|1|3 models|105|
000000842|2|6 models|210|
000000843|1|5 models|70|
000000843|2|10 models|140|
000000844|1|5 models|65|
000000844|2|10 models|130|
000000845|1|2 models|180|
000000845|2|4 models|360|
000000846|1|1 model|35|
000000847|1|4 models|50|
000000848|1|10 models|85|
000000849|1|10 models|95|
000000850|1|5 models|70|
000000850|2|10 models|140|
000000851|1|5 models|75|
000000851|2|10 models|150|
000000852|1|1 model|75|
000000852|2|2 models|150|
000000852|3|3 models|225|
000000853|1|1 model|70|
000000853|2|2 models|140|
000000853|3|3 models|210|
000000854|1|1 model|155|
000000855|1|1 model|405|
000000856|1|1 model|390|
000000857|1|1 model|450|
000000858|1|1 model|380|
000000859|1|1 model|445|
000000860|1|1 model|710|
000000861|1|1 model|425|
000000862|1|1 model|425|
000000863|1|1 model|465|
000000864|1|1 model|430|
000000865|1|1 model|425|
000000866|1|1 model|430|
000000867|1|1 model|1100|
000000868|1|1 model|2200|
000000869|1|1 model|3500|
000000870|1|1 model (<ky>AGENTS OF THE IMPERIUM</ky> Detachment)|110|
000000870|2|1 model (Assigned Agent)|125|
000000871|1|1 model|100|
000000872|1|1 model (<ky>AGENTS OF THE IMPERIUM</ky> Detachment)|110|
000000872|2|1 model (Assigned Agent)|120|
000000873|1|1 model|100|
000000874|1|1 model|65|
000000875|1|1 model|140|
000000876|1|1 model (<ky>AGENTS OF THE IMPERIUM</ky> Detachment)|75|
000000876|2|1 model (Assigned Agent)|95|
000000877|1|1 model|55|
000000882|1|4 models|180|
000000882|2|5 models|225|
000000883|1|1 model|160|
000000884|1|1 model|240|
000000889|1|1 model|60|
000000894|1|2 models|40|
000000894|2|4 models|80|
000000895|1|2 models|55|
000000895|2|4 models|110|
000000896|1|3 models|45|
000000896|2|10 models|150|
000000897|1|1 model|75|
000000897|2|2 models|150|
000000898|1|3 models|160|
000000899|1|1 model|50|
000000900|1|1 model|65|
000000901|1|1 model|50|
000000902|1|1 model|40|
000000903|1|10 models|105|
000000904|1|5 models|90|
000000904|2|10 models|190|
000000907|1|5 models|90|
000000907|2|10 models|180|
000000908|1|5 models|125|
000000909|1|10 models|125|
000000910|1|1 model|75|
000000911|1|1 model|125|
000000912|1|1 model|210|
000000914|1|1 model|275|
000000917|1|1 model|140|
000000918|1|1 model|260|
000000919|1|1 model|225|
000000920|1|1 model|550|
000000921|1|1 model|525|
000000922|1|1 model|155|
000000923|1|1 model|125|
000000924|1|1 model|280|
000000925|1|1 model|80|
000000926|1|1 model|90|
000000928|1|2 models|85|
000000929|1|1 model|90|
000000930|1|1 model|95|
000000931|1|1 model|95|
000000932|1|1 model|115|
000000933|1|1 model|100|
000000934|1|1 model|90|
000000935|1|1 model|100|
000000936|1|3 models|75|
000000937|1|1 model|165|
000000938|1|1 model|60|
000000939|1|1 model|80|
000000940|1|1 model|75|
000000941|1|1 model|80|
000000942|1|1 model|80|
000000943|1|1 model|85|
000000944|1|1 model|70|
000000946|1|10 models|50|
000000946|2|20 models|100|
000000947|1|5 models|180|
000000947|2|10 models|360|
000000951|1|5 models|85|
000000951|2|10 models|170|
000000952|1|5 models|125|
000000952|2|10 models|250|
000000953|1|5 models|120|
000000953|2|10 models|240|
000000954|1|1 model|130|
000000955|1|3 models|185|
000000956|1|1 model|75|
000000957|1|3 models|70|
000000957|2|6 models|130|
000000958|1|5 models|90|
000000958|2|10 models|170|
000000959|1|5 models|125|
000000959|2|10 models|270|
000000960|1|2 models|70|
000000961|1|1 model|205|
000000962|1|1 model|240|
000000963|1|1 model|140|
000000964|1|1 model|185|
000000965|1|2 models|160|
000000966|1|5 models|125|
000000967|1|1 model|190|
000000968|1|1 model|130|
000000969|1|1 model|190|
000000970|1|1 model|450|
000001016|1|1 model|105|
000001017|1|1 model|115|
000001019|1|10 models|55|
000001019|2|20 models|110|
000001020|1|5 models|110|
000001020|2|10 models|200|
000001021|1|1 model|130|
000001022|1|1 model|75|
000001023|1|2 models|65|
000001024|1|1 model|195|
000001025|1|1 model|240|
000001026|1|1 model|130|
000001027|1|1 model|175|
000001028|1|1 model|145|
000001029|1|1 model|140|
000001030|1|1 model|190|
000001031|1|1 model|465|
000001032|1|1 model|140|
000001033|1|1 model|110|
000001034|1|10 models|65|
000001034|2|20 models|130|
000001035|1|5 models|190|
000001035|2|10 models|380|
000001036|1|1 model|170|
000001037|1|1 model|65|
000001038|1|1 model|85|
000001041|1|1 model|70|
000001043|1|10 models|50|
000001043|2|20 models|100|
000001044|1|5 models|90|
000001044|2|7 models|125|
000001044|3|10 models|180|
000001045|1|5 models|155|
000001045|2|10 models|310|
000001046|1|1 model|130|
000001047|1|1 model|75|
000001048|1|2 models|70|
000001049|1|1 model|240|
000001050|1|1 model|130|
000001051|1|1 model|190|
000001052|1|1 model|160|
000001053|1|1 model|80|
000001054|1|1 model|80|
000001055|1|1 model|65|
000001056|1|10 models|50|
000001056|2|20 models|100|
000001057|1|1 model|90|
000001058|1|1 model|45|
000001094|1|1 model|420|
000001095|1|1 model|420|
000001096|1|1 model|445|
000001097|1|1 model|420|
000001098|1|1 model|435|
000001099|1|1 model|700|
000001100|1|1 model|430|
000001104|1|1 model|65|
000001105|1|1 model|305|
000001106|1|1 model|85|
000001111|1|1 model|165|
000001112|1|5 models|70|
000001112|2|10 models|140|
000001114|1|10 models|110|
000001115|1|3 models|110|
000001115|2|6 models|220|
000001116|1|1 model|95|
000001117|1|1 model|270|
000001118|1|1 model|90|
000001119|1|1 model|75|
000001120|1|1 model|260|
000001125|1|3 models|75|
000001125|2|6 models|150|
000001126|1|1 model|65|
000001127|1|3 models|85|
000001127|2|6 models|170|
000001128|1|1 model|115|
000001129|1|1 model|80|
000001130|1|1 model|230|
000001132|1|10 models|110|
000001133|1|3 models|40|
000001133|2|6 models|70|
000001133|3|9 models|105|
000001134|1|1 model|65|
000001134|2|2 models|130|
000001135|1|3 models|110|
000001135|2|6 models|220|
000001136|1|1 model|85|
000001137|1|1 model|290|
000001138|1|1 model|60|
000001139|1|1 model|70|
000001141|1|1 model|140|
000001142|1|10 models|100|
000001143|1|3 models|105|
000001143|2|6 models|210|
000001144|1|1 model|105|
000001144|2|2 models|210|
000001145|1|5 models|80|
000001145|2|10 models|160|
000001146|1|1 model|65|
000001146|2|2 models|130|
000001147|1|1 model|115|
000001148|1|1 model|325|
000001149|1|1 model|190|
000001150|1|5 models|40|
000001150|2|10 models|80|
000001151|1|1 model|180|
000001153|1|1 model|285|
000001154|1|5 models|120|
000001154|2|10 models|240|
000001156|1|1 model|125|
000001157|1|5 models|80|
000001157|2|10 models|160|
000001158|1|1 model|60|
000001159|1|5 models|80|
000001159|2|10 models|160|
000001160|1|5 models|70|
000001160|2|10 models|140|
000001161|1|1 model|200|
000001162|1|1 model|70|
000001163|1|1 model|235|
000001164|1|2 models|90|
000001165|1|1 model|45|
000001166|1|2 models|110|
000001166|2|5 models|275|
000001167|1|1 model|60|
000001168|1|1 model|95|
000001169|1|1 model|95|
000001172|1|1 model|80|
000001174|1|1 model|60|
000001175|1|1 model|265|
000001177|1|5 models|110|
000001177|2|10 models|220|
000001178|1|1 model|175|
000001179|1|1 model|1100|
000001182|1|1 model|90|
000001183|1|5 models|170|
000001183|2|10 models|340|
000001184|1|1 model|285|
000001185|1|1 model|220|
000001188|1|1 model|175|
000001189|1|1 model|610|
000001190|1|1 model|165|
000001191|1|1 model|280|
000001192|1|1 model|150|
000001193|1|3 models|185|
000001193|2|6 models|370|
000001196|1|1 model|255|
000001197|1|1 model|805|
000001199|1|1 model|130|
000001237|1|1 model|185|
000001293|1|1 model|160|
000001294|1|1 model|150|
000001295|1|1 model|170|
000001297|1|1 model|425|
000001298|1|1 model|560|
000001302|1|1 model|115|
000001310|1|1 model|115|
000001311|1|1 model|325|
000001317|1|1 model|115|
000001318|1|1 model|140|
000001321|1|1 model|840|
000001329|1|1 model|415|
000001332|1|1 model|320|
000001333|1|1 model|315|
000001336|1|3 models|120|
000001337|1|3 models|160|
000001338|1|1 model|145|
000001339|1|1 model|130|
000001340|1|1 model|275|
000001344|1|1 model|75|
000001345|1|1 model|55|
000001346|1|1 model|65|
000001347|1|1 model|275|
000001348|1|1 model|80|
000001354|1|1 model|95|
000001355|1|1 model|70|
000001360|1|1 model|210|
000001361|1|1 model|120|
000001362|1|1 model|75|
000001363|1|1 model|160|
000001364|1|1 model|170|
000001367|1|1 model|60|
000001368|1|1 model|50|
000001369|1|1 model|50|
000001370|1|1 model|45|
000001371|1|3 models|110|
000001371|2|6 models|220|
000001372|1|5 models|155|
000001372|2|10 models|310|
000001374|1|1 model|90|
000001374|2|2 models|180|
000001374|3|3 models|270|
000001376|1|1 model|180|
000001377|1|1 model|300|
000001383|1|3 models|110|
000001385|1|1 model|50|
000001386|1|1 model|100|
000001387|1|1 model|100|
000001388|1|1 model|250|
000001389|1|1 model|230|
000001390|1|1 model|130|
000001391|1|3 models|110|
000001392|1|1 model|100|
000001393|1|1 model|115|
000001394|1|1 model|35|
000001396|1|1 model|45|
000001397|1|4 models|35|
000001398|1|1 model|40|
000001400|1|1 model|45|
000001406|1|1 model|65|
000001423|1|1 model|105|
000001446|1|1 model|140|
000001447|1|1 model|140|
000001448|1|1 model|140|
000001449|1|1 model|160|
000001450|1|4 models|200|
000001450|2|5 models|250|
000001453|1|2 models|130|
000001453|2|3 models|195|
000001453|3|5 models|325|
000001453|4|6 models|390|
000001454|1|2 models|150|
000001454|2|3 models|225|
000001455|1|1 model|65|
000001456|1|1 model|100|
000001458|1|1 model|155|
000001460|1|1 model|215|
000001461|1|1 model|200|
000001462|1|1 model|60|
000001463|1|1 model|95|
000001464|1|1 model|60|
000001465|1|1 model|230|
000001466|1|1 model|120|
000001467|1|1 model|55|
000001468|1|1 model|55|
000001469|1|1 model|60|
000001470|1|1 model|100|
000001472|1|1 model|60|
000001474|1|3 models|50|
000001474|2|6 models|90|
000001476|1|1 model|160|
000001477|1|1 model|80|
000001478|1|1 model|80|
000001479|1|1 model|215|
000001481|1|1 model|130|
000001482|1|1 model|140|
000001483|1|1 model|405|
000001484|1|1 model|450|
000001485|1|1 model|510|
000001486|1|1 model|510|
000001509|1|1 model|130|
000001523|1|5 models|75|
000001523|2|10 models|150|
000001524|1|1 model|75|
000001525|1|5 models|65|
000001525|2|10 models|130|
000001526|1|5 models|50|
000001526|2|10 models|100|
000001527|1|1 model|110|
000001533|1|1 model|200|
