datasheet_id|line|name|M|T|Sv|inv_sv|inv_sv_descr|W|Ld|OC|base_size|base_size_descr|
000000041|1|Killa Kans|6"|6|3+|6||5|8+|2|60mm||
000000042|1|Morkanaut|8"|12|3+|5||20|7+|8|170 x 109mm||
000000043|1|Gorkanaut|8"|12|3+|6||20|7+|8|170 x 109mm||
000000044|1|Lootas|6"|5|5+|-||1|7+|1|32mm||
000000045|1|Flash Gitz|6"|5|4+|-||2|7+|1|40mm||
000000046|1|Stompa|10"|14|2+|6||30|6+|12|Use model||
000000049|1|Grot Tanks|10"|6|3+|-||5|8+|2|Use model||
000000050|1|Grot Mega-tank|8"|9|3+|-||12|8+|4|Use model||
000000051|1|Squiggoth|10"|10|3+|-||18|7+|5|Use model||
000000052|1|Meka-dread|8"|10|2+|6||16|7+|5|Use model||
000000053|1|Lifta Wagon|10"|10|3+|6||16|7+|5|Use model||
000000054|1|Big Trakk|12"|9|4+|6||12|7+|3|Use model||
000000055|1|Kannonwagon|12"|10|4+|6||16|7+|4|Use model||
000000056|1|Kill Tank|12"|12|3+|-||24|6+|10|Use model||
000000057|1|Chinork Warkopta|14"|8|4+|6||10|7+|2|120 x 92mm flying base||
000000059|1|Gargantuan Squiggoth|10"|13|3+|-||30|7+|12|Use model||
000000060|1|Apothecary Biologis|5"|6|3+|-||5|6+|3|40mm||
000000061|1|Assault Squad|6"|4|3+|-||2|6+|1|32mm||
000000063|1|Apothecary On Bike|12"|5|3+|-||5|6+|2|75 x 25mm||
000000064|1|Assault Squad With Jump Packs|12"|4|3+|-||2|6+|1|32mm||
000000065|1|Land Raider|10"|12|2+|-||16|6+|5|Use model||
000000066|1|Land Raider Crusader|12"|12|2+|-||16|6+|5|Use model||
000000067|1|Land Raider Excelsior|10"|12|2+|5||16|6+|5|Use model||
000000068|1|Suppressor Squad|12"|4|3+|-||2|6+|1|40mm||
000000070|1|Tactical Squad|6"|4|3+|-||2|6+|2|32mm||
000000071|1|Bladeguard Veteran Squad|6"|4|3+|4||3|6+|1|40mm||
000000072|1|Caestus Assault Ram|20+"|10|3+|-||18|6+|0|120 x 92mm flying base||
000000073|1|Captain|6"|4|3+|4||5|6+|1|40mm||
000000076|1|Lieutenant With Combi-weapon|6"|4|3+|-||4|6+|1|40mm||
000000079|1|Librarian In Terminator Armour|5"|5|2+|4||5|6+|1|40mm||
000000081|1|Captain Sicarius|6"|4|2+|4||5|6+|1|25mm||
000000083|1|Captain With Jump Pack|12"|4|3+|4||5|6+|1|40mm||
000000084|1|Stormhawk Interceptor|20+"|9|3+|-||10|6+|0|120 x 92mm flying base||
000000085|1|Rhino Primaris|12"|9|3+|-||10|6+|3|Use model||
000000086|1|Firestrike Servo-turrets|3"|6|2+|-||6|6+|2|80mm||
000000087|1|Drop Pod|-|7|3+|-||8|6+|2|Use model||
000000091|1|Ballistus Dreadnought|8"|10|2+|-||12|6+|4|90mm||
000000092|1|Sicaran Venator|10"|11|2+|-||14|6+|4|Use model||
000000093|1|Typhon|10"|12|2+|-||18|6+|6|Use model||
000000094|1|Chaplain On Bike|12"|5|3+|4||5|5+|1|90 x 52mm||
000000095|1|Ultramarines Honour Guard|6"|4|2+|-||2|6+|1|32mm||
000000096|1|Carab Culln The Risen|8"|10|2+|5||12|6+|4|80mm||
000000097|1|Hammerfall Bunker|-|12|2+|-||14|6+|0|Use model||
000000098|1|Tarantula Sentry Battery|-|6|3+|-||4|6+|1|Use model||
000000099|1|Tarantula Air Defence Battery|-|5|3+|-||4|7+|0|Use model||
000000103|1|Eradicator Squad|5"|6|3+|-||3|6+|1|40mm||
000000104|1|Relic Terminator Squad|5"|5|2+|4||3|6+|1|40mm||
000000107|1|Javelin Attack Speeder|14"|8|3+|-||9|6+|3|60mm flying base||
000000110|1|Rapier Carrier|3"|6|2+|-||6|6+|2|Use model||
000000111|1|Mortis Dreadnought|6"|9|2+|-||8|6+|3|60mm||
000000112|1|Chaplain With Jump Pack|12"|4|3+|4||4|5+|1|32mm||
000000113|1|Storm Eagle Gunship|20+"|10|3+|-||18|6+|0|120 x 92mm flying base||
000000114|1|Storm Speeder Hammerstrike|14"|9|3+|-||11|6+|3|90mm||
000000115|1|Chaplain In Terminator Armour|5"|5|2+|4||5|5+|1|40mm||
000000116|1|SPACE MARINE BIKE|12"|5|3+|-||3|6+|2|75 x 25mm||
000000116|2|ATTACK BIKE|12"|5|3+|-||5|6+|2|Use model||
000000117|1|Dreadnought|6"|9|2+|-||8|6+|3|60mm||
000000118|1|Terminator Assault Squad|5"|5|2+|4||3|6+|1|40mm||
000000119|1|Librarian In Phobos Armour|6"|4|3+|-||4|6+|1|40mm||
000000120|1|Venerable Dreadnought|6"|9|2+|-||8|6+|3|60mm||
000000121|1|Uriel Ventris|6"|4|3+|4||5|6+|1|40mm||
000000122|1|Dreadnought Drop Pod|-|7|3+|-||8|6+|2|Use model||
000000123|1|Sicaran Punisher|10"|11|2+|-||14|6+|4|Use model||
000000124|1|Storm Speeder Hailstrike|14"|9|3+|-||11|6+|3|90mm||
000000125|1|Inceptor Squad|10"|6|3+|-||3|6+|1|40mm||
000000126|1|Infernus Squad|6"|4|3+|-||2|6+|1|32mm||
000000127|1|Iron Father Feirros|5"|6|2+|-||6|6+|1|40mm||
000000128|1|Infiltrator Squad|6"|4|3+|-||2|6+|1|32mm||
000000129|1|Razorback|12"|9|3+|-||10|6+|2|Use model||
000000131|1|Leviathan Dreadnought|8"|10|2+|5||12|6+|4|80mm||
000000132|1|Land Speeder Storm|14"|7|4+|-||7|6+|1|60mm flying base||
000000134|1|Astartes Servitors|6"|4|4+|6||1|8+|0|25mm||
000000135|1|Captain In Terminator Armour|5"|5|2+|4||6|6+|1|50mm||
000000136|1|Brutalis Dreadnought|8"|10|2+|-||12|6+|4|90mm||
000000137|1|Scout Bike Squad|12"|5|4+|-||3|6+|2|75 x 25mm||
000000138|1|Roboute Guilliman|8"|9|2+|4||10|5+|4|60mm||
000000139|1|Thunderhawk Gunship|20+"|12|2+|-||30|6+|0|120 x 92mm flying base||
000000140|1|Techmarine|6"|4|2+|-||4|6+|1|40mm||
000000146|1|Hunter|9"|11|3+|-||11|6+|3|Use model||
000000147|1|Vanguard Veteran Squad With Jump Packs|12"|4|3+|-||2|6+|1|32mm||
000000148|1|Imperial Space Marine|6"|4|3+|-||4|6+|1|32mm||
000000151|1|Commander Dante|12"|4|2+|4||6|6+|1|50mm||
000000152|1|Captain Tycho|6"|4|2+|4||5|6+|1|25mm||
000000153|1|Tycho The Lost|6"|4|2+|4||4|6+|1|25mm||
000000154|1|Librarian Dreadnought|8"|9|2+|-||8|6+|3|60mm||
000000155|1|Chief Librarian Mephiston|7"|5|2+|5||6|6+|1|40mm||
000000156|1|The Sanguinor|12"|4|2+|4||7|6+|1|40mm||
000000157|1|Astorath|12"|4|2+|4||5|5+|1|40mm||
000000158|1|Sanguinary Priest|6"|4|3+|-||4|6+|1|40mm||
000000159|1|Sanguinary Priest On Bike|12"|5|3+|-||5|6+|2|75 x 25mm||
000000160|1|Brother Corbulo|6"|4|3+|-||4|6+|1|25mm||
000000164|1|Lemartes|12"|4|3+|4||4|5+|1|40mm||
000000165|1|Sanguinary Guard|12"|4|2+|4||3|6+|1|40mm||
000000166|1|Death Company Dreadnought|8"|10|2+|-||12|6+|4|90mm||
000000167|1|Furioso Dreadnought|8"|9|2+|-||8|6+|3|60mm||
000000168|1|Baal Predator|12"|10|3+|-||11|6+|3|Use model||
000000169|1|Gabriel Seth|6"|4|3+|4||6|6+|1|25mm||
000000218|1|Azrael|6"|4|2+|4||6|6+|1|50mm||
000000219|1|Belial|5"|5|2+|4||6|6+|1|50mm||
000000225|1|Asmodai|6"|4|3+|4||4|5+|1|50mm||
000000226|1|Ezekiel|6"|4|2+|4||4|6+|1|25mm||
000000230|1|Deathwing Terminator Squad|5"|5|2+|4||3|6+|1|40mm||
000000231|1|Deathwing Knights|5"|5|2+|4||4|6+|1|40mm||
000000238|1|Ravenwing Darkshroud|14"|8|3+|5||10|6+|3|60mm flying base||
000000239|1|Nephilim Jetfighter|20+"|8|3+|5||11|6+|0|120 x 92mm flying base||
000000240|1|Ravenwing Dark Talon|20+"|8|3+|5||11|6+|0|120 x 92mm flying base||
000000241|1|Ravenwing Black Knights|12"|5|3+|5||3|6+|2|75 x 42mm||
000000242|1|Land Speeder Vengeance|14"|8|3+|5||10|6+|3|60mm flying base||
000000243|1|Fortress Of Redemption|-|13|2+|-||30|7+|0|Use model||
000000282|1|Logan Grimnar|5"|5|2+|4||6|6+|1|40mm||
000000283|1|Logan Grimnar On Stormrider|10"|6|2+|4||12|6+|4|120 x 92mm||
000000284|1|Wolf Lord On Thunderwolf|10"|6|3+|4||6|6+|2|60mm||
000000285|1|Ragnar Blackmane|6"|4|3+|4||5|6+|1|40mm||
000000286|1|Krom Dragongaze|6"|4|3+|4||4|6+|1|32mm||
000000287|1|Harald Deathwolf|10"|6|3+|4||7|6+|2|60mm||
000000288|1|Canis Wolfborn|10"|6|3+|-||6|6+|2|60mm||
000000292|1|Njal Stormcaller|5"|5|2+|4||5|6+|1|40mm||
000000297|1|Ulrik The Slayer|6"|4|3+|4||4|5+|1|32mm||
000000300|1|Wolf Guard Battle Leader In Terminator Armour|5"|5|2+|4||5|6+|1|40mm||
000000301|1|Wolf Guard Battle Leader On Thunderwolf|10"|6|3+|-||5|6+|2|60mm||
000000302|1|Bjorn The Fell-handed|8"|9|2+|-||8|6+|3|60mm||
000000303|1|Blood Claws|6"|4|3+|-||2|6+|2|32mm||
000000304|1|Lukas The Trickster|6"|4|3+|-||4|6+|1|32mm||
000000305|1|Grey Hunters|6"|4|3+|-||2|6+|2|32mm||
000000306|1|Iron Priest|6"|4|2+|-||4|6+|1|32mm||
000000308|1|Iron Priest On Thunderwolf|10"|6|2+|-||5|6+|2|60mm||
000000310|1|Wolf Scouts|6"|4|4+|-||2|6+|1|28mm||
000000311|1|Wulfen|8"|5|4+|-||2|6+|0|40mm||
000000314|1|Murderfang|8"|9|2+|-||8|6+|0|60mm||
000000315|1|Wolf Guard|6"|4|3+|-||2|5+|1|32mm||
000000317|1|Arjac Rockfist|5"|5|2+|4||6|6+|1|40mm||
000000318|1|Wolf Guard Terminators|5"|5|2+|4||3|6+|1|40mm||
000000321|1|Stormwolf|20+"|10|3+|-||14|6+|0|120 x 92mm flying base||
000000322|1|Thunderwolf Cavalry|10"|6|3+|-||4|6+|2|60mm||
000000323|1|Fenrisian Wolves|10"|4|6+|-||1|8+|0|40mm||
000000324|1|Skyclaws|12"|4|3+|-||2|6+|1|32mm||
000000325|1|Stormfang Gunship|20+"|10|3+|-||14|6+|0|120 x 92mm flying base||
000000326|1|Long Fangs|6"|4|3+|-||2|6+|1|32mm||
000000358|1|Corvus Blackstar|20+"|10|3+|-||14|6+|0|120 x 92mm flying base||
000000373|1|Kaldor Draigo|5"|5|2+|4||7|6+|1|40mm||
000000374|1|Grand Master Voldus|5"|5|2+|4||6|6+|1|40mm||
000000375|1|Grand Master|5"|5|2+|4||7|6+|1|40mm||
000000376|1|Brother-captain|5"|5|2+|4||6|6+|1|40mm||
000000377|1|Brother-captain Stern|5"|5|2+|4||6|6+|1|40mm||
000000379|1|Brotherhood Champion|6"|4|2+|4||4|6+|1|32mm||
000000380|1|Castellan Crowe|6"|4|2+|4||5|6+|1|40mm||
000000381|1|Strike Squad|6"|4|2+|-||2|6+|2|32mm||
000000382|1|Brotherhood Terminator Squad|5"|5|2+|4||3|6+|2|40mm||
000000383|1|Purifier Squad|6"|4|2+|-||2|6+|1|32mm||
000000384|1|Paladin Squad|5"|5|2+|4||3|6+|1|40mm||
000000387|1|Interceptor Squad|12"|4|2+|-||2|6+|1|32mm||
000000388|1|Purgation Squad|6"|4|2+|-||2|6+|1|32mm||
000000389|1|Nemesis Dreadknight|8"|8|2+|4||13|6+|4|120 x 92mm||
000000390|1|Grey Knights Dreadnought|6"|9|2+|-||8|6+|3|60mm||
000000391|1|Grey Knights Land Raider|10"|12|2+|-||16|6+|5|Use model||
000000392|1|Grey Knights Land Raider Crusader|12"|12|2+|-||16|6+|5|Use model||
000000393|1|Grey Knights Land Raider Redeemer|12"|12|2+|-||16|6+|5|Use model||
000000395|1|Grey Knights Razorback|12"|9|3+|-||10|6+|2|Use model||
000000396|1|Grey Knights Rhino|12"|9|3+|-||10|6+|2|Use model||
000000397|1|Servitors|6"|4|4+|6||1|8+|0|25mm||
000000398|1|Grey Knights Stormraven Gunship|20+"|10|3+|-||14|6+|0|120 x 92mm flying base||
000000399|1|Brotherhood Techmarine|5"|4|2+|-||4|6+|1|32mm||
000000400|1|Grey Knights Venerable Dreadnought|6"|9|2+|-||8|6+|3|60mm||
000000402|1|Commander In Coldstar Battlesuit|12"|5|3+|-||6|7+|2|60mm||
000000403|1|Tactical Drones|8"|3|4+|-||1|7+|0|32mm flying base||
000000404|1|Ethereal|6"|3|5+|5||3|6+|1|40mm||
000000405|1|Cadre Fireblade|6"|3|4+|-||3|7+|1|25mm||
000000406|1|Commander Farsight|10"|5|2+|4||8|6+|2|60mm||
000000407|1|Commander Shadowsun|10"|4|3+|5||6|6+|1|50mm||
000000408|1|Aun’shi|6"|3|6+|5||3|7+|1|25mm||
000000409|1|AUN’VA|6"|3|5+|4||5|7+|1|40mm||
000000409|2|ETHEREAL GUARD|6"|3|5+|4||2|7+|1|25mm||
000000410|1|Darkstrider|7"|3|4+|-||3|7+|1|32mm||
000000411|1|Strike Team|6"|3|4+|-||1|7+|2|25mm||
000000412|1|Breacher Team|6"|3|4+|-||1|7+|2|25mm||
000000413|1|Kroot Carnivores|7"|3|6+|-||1|7+|2|28mm||
000000414|1|Krootox Riders|7"|6|5+|-||5|7+|2|50mm||
000000415|1|Kroot Hounds|12"|3|6+|-||1|8+|0|28mm||
000000417|1|Stealth Battlesuits|8"|4|3+|-||2|7+|1|32mm||
000000418|1|Crisis Battlesuits|10"|5|3+|-||4|7+|2|50mm||
000000420|1|Ghostkeel Battlesuit|10"|8|2+|-||12|7+|3|105 x 70mm||
000000421|1|Riptide Battlesuit|10"|9|2+|4||14|7+|4|120 x 92mm||
000000422|1|Pathfinder Team|7"|3|4+|-||1|7+|1|25mm||
000000423|1|Piranha|14"|7|4+|-||7|7+|2|60mm flying base||
000000424|1|Devilfish|12"|9|3+|-||13|7+|2|60mm flying base||
000000425|1|Razorshark Strike Fighter|20+"|10|3+|-||12|7+|0|120 x 92mm flying base||
000000426|1|Sun Shark Bomber|20+"|9|3+|-||12|7+|0|120 x 92mm flying base||
000000427|1|Vespid Stingwings|12"|4|4+|-||1|7+|1|28mm|Oversight Drone 25mm|
000000428|1|Firesight Team|6"|3|4+|-||4|7+|3|40mm||
000000430|1|Sky Ray Gunship|10"|10|3+|-||14|7+|3|60mm flying base||
000000431|1|Longstrike|10"|10|3+|-||14|7+|3|60mm flying base||
000000432|1|Hammerhead Gunship|10"|10|3+|-||14|7+|3|60mm flying base||
000000433|1|Broadside Battlesuits|5"|6|2+|-||8|7+|2|60mm||
000000434|1|Stormsurge|8"|11|2+|4||20|7+|6|170 x 109mm||
000000435|1|Tidewall Droneport|4"|8|3+|-||10|7+|0|Use model||
000000436|1|Tidewall Shieldline|4"|8|3+|5||10|7+|0|Use model||
000000437|1|Tidewall Gunrig|4"|8|3+|-||14|7+|0|Use model||
000000439|1|Shas'o R'alai|8"|6|3+|4||6|7+|2|65mm||
000000443|1|Xv9 Hazard Battlesuits|8"|6|3+|-||4|7+|2|60mm||
000000444|1|Y’vahra Battlesuit|10"|9|2+|5||15|7+|4|120 x 92mm||
000000445|1|R’varna Battlesuit|8"|10|2+|5||15|7+|4|120 x 92mm||
000000446|1|Ta’unar Supremacy Armour|8"|13|2+|5||30|7+|10|160mm||
000000447|1|Tetras|14"|7|4+|-||7|7+|2|60mm flying base||
000000448|1|Tx42 Piranha|14"|7|4+|-||7|7+|2|60mm flying base||
000000449|1|Heavy Gun Drones|8"|5|4+|-||2|8+|0|32mm flying base||
000000452|1|Remora Stealth Drones|16"|6|3+|-||5|7+|0|60mm flying base||
000000453|1|Barracuda|20+"|10|3+|5||14|7+|0|120 x 92mm flying base||
000000454|1|Tiger Shark|20+"|11|3+|5||18|7+|0|160mm||
000000455|1|Ax-1-0 Tiger Shark|20+"|11|3+|5||18|7+|0|160mm||
000000456|1|Orca Dropship|20+"|12|3+|-||28|7+|0|Use model||
000000457|1|Manta|20+"|14|2+|5||60|7+|0|Use model||
000000458|1|Remote Sensor Tower|-|8|4+|-||4|8+|0|Use model||
000000459|1|Drone Sentry Turret|-|8|4+|-||4|8+|0|Use model||
000000460|1|Hive Tyrant|8"|10|2+|4||10|7+|3|60mm||
000000461|1|The Swarmlord|8"|10|2+|4||10|7+|3|60mm||
000000462|1|Old One Eye|8"|9|2+|-||9|8+|3|105 x 70mm||
000000463|1|Broodlord|8"|5|4+|4||6|7+|1|75 x 42mm||
000000465|1|Tervigon|8"|11|2+|-||16|7+|5|120 x 92mm||
000000467|1|Genestealers|8"|4|5+|5||2|7+|1|32mm||
000000468|1|Termagants|6"|3|5+|-||1|8+|2|28mm||
000000469|1|Hormagaunts|10"|3|5+|-||1|8+|2|28mm||
000000470|1|Ripper Swarms|6"|2|6+|-||4|8+|0|40mm||
000000471|1|Tyrant Guard|6"|8|3+|-||4|8+|1|50mm||
000000472|1|Hive Guard|6"|7|3+|-||4|8+|1|50mm||
000000473|1|Lictor|8"|6|4+|-||6|7+|1|50mm||
000000474|1|Maleceptor|8"|11|3+|4||14|7+|4|120 x 92mm||
000000475|1|Zoanthropes|5"|5|5+|4||3|7+|1|40mm||
000000476|1|Venomthropes|6"|5|4+|-||3|8+|1|40mm||
000000477|1|Pyrovores|5"|6|3+|-||5|8+|1|80mm||
000000478|1|Haruspex|8"|11|3+|-||14|8+|4|120 x 92mm||
000000479|1|Deathleaper|8"|6|3+|4||7|7+|1|60mm||
000000482|1|Raveners|10"|5|5+|-||3|8+|1|40mm||
000000483|1|Sky-slasher Swarms|12"|2|6+|-||4|8+|0|40mm||
000000484|1|Gargoyles|12"|3|6+|-||1|8+|2|32mm flying base||
000000485|1|Harpy|20+"|9|3+|-||12|8+|0|120 x 92mm flying base||
000000486|1|Hive Crone|20+"|9|3+|-||12|8+|0|120 x 92mm flying base||
000000487|1|Mucolid Spores|4"|4|7+|-||3|8+|0|40mm||
000000488|1|Spore Mines|4"|1|7+|-||1|8+|0|25mm||
000000489|1|Tyrannocyte|8"|9|3+|-||10|8+|2|100mm||
000000490|1|Carnifexes|8"|9|2+|-||8|8+|3|105 x 70mm||
000000491|1|Biovores|5"|6|3+|-||5|8+|1|80mm||
000000493|1|Trygon|10"|10|3+|-||14|8+|4|120 x 92mm||
000000494|1|Mawloc|10"|10|3+|-||14|8+|4|120 x 92mm||
000000495|1|Exocrine|8"|10|3+|-||14|8+|4|120 x 92mm||
000000496|1|Tyrannofex|9"|12|2+|-||16|8+|5|120 x 92mm||
000000497|1|Toxicrene|8"|11|3+|-||14|8+|4|120 x 92mm||
000000498|1|Sporocyst|-|10|3+|-||10|8+|0|100mm||
000000499|1|Malanthrope|6"|5|4+|-||10|7+|3|60mm||
000000500|1|Dimachaeron|12"|10|3+|5||16|7+|5|120 x 92mm||
000000503|1|Barbed Hierodule|8"|12|2+|-||18|8+|5|127mm||
000000504|1|Harridan|20+"|10|3+|-||30|8+|0|120 x 92mm flying base||
000000505|1|Hierophant|12"|14|2+|5||30|8+|12|Use model||
000000506|1|Scythed Hierodule|12"|12|2+|-||18|8+|5|127mm||
000000507|1|Patriarch|8"|5|4+|4||6|6+|1|50mm|Psychic familiar 25mm|
000000508|1|Magus|6"|3|5+|5||4|6+|1|32mm|Psychic familiar 25mm|
000000509|1|Primus|6"|3|5+|5||4|6+|1|32mm||
000000510|1|Acolyte Iconward|6"|4|5+|-||3|6+|1|32mm||
000000511|1|Acolyte Hybrids|6"|4|5+|-||1|7+|2|32mm||
000000512|1|Neophyte Hybrids|6"|3|5+|-||1|7+|2|25mm|32mm if equipped with Heavy Mining Weapon|
000000513|1|Hybrid Metamorphs|6"|4|5+|-||1|7+|1|32mm||
000000514|1|Aberrants|6"|6|5+|-||3|7+|1|32mm||
000000515|1|Purestrain Genestealers|8"|4|5+|5||2|7+|1|32mm||
000000516|1|Goliath Truck|12"|9|3+|-||10|7+|2|Use model||
000000521|1|Goliath Rockgrinder|12"|10|3+|-||10|7+|3|Use model||
000000522|1|Imotekh The Stormlord|5"|5|2+|4||6|6+|1|40mm||
000000523|1|Overlord|5"|5|2+|4||6|6+|1|40mm||
000000524|1|Lord|5"|5|3+|-||4|6+|1|32mm||
000000527|1|Nemesor Zahndrekh|5"|5|2+|4||6|7+|1|25mm||
000000528|1|Vargard Obyron|5"|5|2+|-||5|6+|1|25mm||
000000530|1|Orikan The Diviner|5"|4|4+|4||4|6+|1|40mm||
000000531|1|Anrakyr The Traveller|5"|5|2+|4||6|6+|1|25mm||
000000532|1|Trazyn The Infinite|5"|5|2+|4||6|6+|1|25mm||
000000533|1|Catacomb Command Barge|10"|8|3+|4||9|6+|3|Use model||
000000534|1|Necron Warriors|5"|4|4+|-||1|7+|2|32mm||
000000535|1|Immortals|5"|5|3+|-||1|7+|2|32mm||
000000536|1|Lychguard|5"|5|3+|-||2|7+|1|32mm||
000000537|1|Deathmarks|5"|5|3+|-||1|7+|1|32mm||
000000538|1|Flayed Ones|5"|4|4+|-||1|7+|1|28mm||
000000539|1|Triarch Praetorians|10"|5|3+|-||2|7+|1|32mm||
000000540|1|Triarch Stalker|8"|8|3+|4||12|7+|4|Use model||
000000541|1|C’tan Shard Of The Nightbringer|6"|11|4+|4||12|6+|4|40mm||
000000542|1|C’tan Shard Of The Deceiver|6"|11|4+|4||12|6+|6|40mm||
000000543|1|Ghost Ark|10"|9|3+|4||14|7+|3|60mm||
000000544|1|Night Scythe|20+"|9|3+|-||12|7+|0|120 x 92mm flying base||
000000545|1|Doom Scythe|20+"|9|3+|-||12|7+|0|120 x 92mm flying base||
000000546|1|Canoptek Wraiths|10"|6|3+|4||4|8+|2|50mm||
000000548|1|Tomb Blades|12"|5|4+|-||2|7+|2|32mm flying base||
000000551|1|Canoptek Spyders|5"|7|3+|-||6|8+|2|60mm flying base||
000000552|1|Monolith|8"|13|2+|-||22|7+|8|160mm||
000000553|1|Annihilation Barge|10"|8|3+|4||9|7+|3|Use model||
000000554|1|Doomsday Ark|10"|9|3+|4||14|7+|5|60mm flying base||
000000555|1|Transcendent C’tan|6"|11|4+|4||12|6+|4|60mm flying base||
000000556|1|Tesseract Vault|8"|12|2+|4||24|7+|8|120 x 92mm flying base||
000000557|1|Obelisk|8"|13|2+|-||24|7+|8|120 x 92mm flying base||
000000558|1|Canoptek Tomb Stalker|10"|9|3+|4||9|8+|3|120 x 92mm||
000000559|1|Canoptek Acanthrites|12"|5|3+|-||2|8+|2|40mm||
000000560|1|Canoptek Tomb Sentinel|10"|9|3+|4||9|8+|3|120 x 92mm||
000000561|1|Night Shroud|20+"|9|3+|-||14|7+|0|120 x 92mm flying base||
000000562|1|Sentry Pylon|-|8|3+|-||10|7+|0|Use model||
000000564|1|Tesseract Ark|9"|9|3+|4||10|6+|3|60mm||
000000567|1|Gauss Pylon|-|12|3+|5||22|7+|0|Use model||
000000568|1|Eldrad Ulthran|7"|4|6+|4||5|6+|1|32mm||
000000569|1|Prince Yriel|7"|3|3+|4||4|6+|1|32mm||
000000570|1|Illic Nightspear|7"|3|5+|5|*  This model has a 5+ invulnerable save against ranged attacks.|3|6+|1|25mm||
000000571|1|Asurmen|7"|3|2+|3||5|6+|1|25mm||
000000572|1|Jain Zar|8"|3|2+|4||5|6+|1|40mm||
000000573|1|Karandras|7"|3|2+|4||5|6+|1|25mm||
000000574|1|Fuegan|7"|3|2+|4||5|6+|1|25mm||
000000575|1|Baharroth|14"|3|2+|4||5|6+|1|25mm||
000000576|1|Maugan Ra|7"|3|2+|4||5|6+|1|40mm||
000000577|1|Autarch|7"|3|3+|4||4|6+|1|32mm||
000000580|1|Autarch Skyrunner|14"|4|3+|4||5|6+|2|32mm flying base||
000000581|1|Avatar Of Khaine|10"|12|2+|4||14|6+|5|80mm||
000000582|1|Farseer|7"|3|6+|4||4|6+|1|25mm||
