datasheet_id|line|ability_id|model|name|description|type|parameter|
000000004|5|||Da Jump (Psychic)|Once per turn, at the end of your <a href="/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, one <span class="kwb">WEIRDBOY</span> from your army can use this ability. If it does, roll one D6: on a 1, that <span class="kwb">WEIRDBOY</span>’s unit suffers D6 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>; on a 2+, remove this <span class="kwb">WEIRDBOY</span>’s unit from the battlefield and set it up again anywhere on the battlefield that is more than 9" horizontally away from all enemy models.|Datasheet||
000000006|1|000008346||||Core||
000000006|2|000003676||||Faction||
000000006|3|||More Dakka|While this model is leading a unit, each time a model in that unit makes a ranged attack, re-roll a <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> of 1.|Datasheet||
000000006|4|||Fix Dat Armour Up|While this model is leading a unit, in your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, you can return 1 destroyed <a href="/wh40k10ed/the-rules/core-rules/#Attached-Units">Bodyguard</a> model to that unit.|Datasheet||
000000006|5|||Kustom Force Field|While the bearer is leading a unit, models in that unit have a 4+ <a href="/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a> against ranged attacks.|Wargear||
000000006|6|||Grot Oiler|Once per battle, at the end of your <a href="/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, one model in the bearer’s unit regains D3 lost wounds.<br><br><b>Designer’s Note:</b> <i>Place a Grot Oiler token next to the unit, removing it once this ability has been used.</i>|Wargear||
000000007|1|000008346||||Core||
000000007|2|000003676||||Faction||
000000007|3|||Kustom Force Field|While the bearer is leading a unit, models in that unit have a 4+ <a href="/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a> against ranged attacks.|Wargear||
000000007|4|||More Dakka|While this model is leading a unit, each time a model in that unit makes a ranged attack, re-roll a <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> of 1.|Datasheet||
000000007|5|||Mekaniak|At the end of your <a href="/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, you can select one friendly <span class="tooltip00374" data-tooltip-content="#tooltip_content00374" data-tooltip-anchor="#tooltip_content00374"><span class="kwb">ORKS</span> <span class="kwb">VEHICLE</span></span> model within 3" of this model. That <span class="kwb">VEHICLE</span> model regains up to D3 lost wounds, and, until the start of your next Movement phase, each time that <span class="kwb">VEHICLE</span> model makes an attack, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>. Each model can only be selected for this ability once per turn.|Datasheet||
000000008|1|000008346||||Core||
000000008|2|000003676||||Faction||
000000008|3|||Prophet of Da Great Waaagh!|While this unit is leading a unit, each time a model in that unit makes a melee attack, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> and add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a> and if the <span class="tooltip00373" data-tooltip-content="#tooltip_content00373"><span class="tt kwbu">Waaagh!</span></span> is active for your army, a <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Critical Hit</a> is scored on a successful unmodified Hit roll of 5+.|Datasheet||
000000008|4|||Ghazghkull’s Waaagh! Banner (Aura)|While a friendly <span class="kwb">ORKS</span> unit is within 12" of Makari, if the <span class="tooltip00373" data-tooltip-content="#tooltip_content00373"><span class="tt kwbu">Waaagh!</span></span> is active for your army, melee weapons equipped by models in that unit have the <span class="kwb2 bluefont"><a href="/wh40k10ed/the-rules/core-rules/#Lethal-Hits">[LETHAL HITS]</a></span> ability.|Datasheet||
000000008|5|||SUPREME COMMANDER|If this unit is in your army, its Ghazghkull Thraka model must be your <a href="/wh40k10ed/the-rules/core-rules/#6.-Select-Warlord">Warlord</a>.|Special (правая колонка)||
000000009|1|000008346||||Core||
000000009|2|000003676||||Faction||
000000009|3|||Flashiest Gitz|While this model is leading a unit, each time a model in that unit makes a ranged attack, you can re-roll the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|Datasheet||
000000009|4|||Ded Glowy Ammo (Aura)|While an enemy Infantry unit is within 6" of this model, subtract 1 from the Toughness characteristic of models in that unit.|Datasheet||
000000010|1|000008343||||Core||
000000010|2|000008338||||Core|6+|
000000010|3|000008346||||Core||
000000010|4|000003676||||Faction||
000000010|5|||Drill Boss|While this model is leading a unit, each time a model in that unit makes a melee attack, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|Datasheet||
000000010|6|||Plummeting Descent|You can re-roll <a href="/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit">Charge rolls</a> made for this model’s unit in a turn in which it was set up on the battlefield from <a href="/wh40k10ed/the-rules/core-rules/#2.-Reinforcements">Reserves</a>.|Datasheet||
000000011|1|000008345||||Core||
000000011|2|000008346||||Core||
000000011|3|000008336||||Core||
000000011|4|000008337||||Core||
000000011|5|000003676||||Faction||
000000011|6|||Red Skull Kommandos|While this model is leading a unit, models in that unit have the <a href="/wh40k10ed/the-rules/core-rules/#Benefit-of-Cover">Benefit of Cover</a>.|Datasheet||
000000011|7|||Kunnin’ Infiltrator|Once per battle, in your <a href="/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, instead of making a <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Normal move</a> with this model’s unit, you can remove it from the battlefield and set it up again anywhere on the battlefield that is more than 9" horizontally away from all enemy models.|Datasheet||
000000012|1|000008346||||Core||
000000012|2|000003676||||Faction||
000000012|3|||Mekboy|While this model is within 3" of one or more friendly <span class="tooltip00374" data-tooltip-content="#tooltip_content00374" data-tooltip-anchor="#tooltip_content00374"><span class="kwb">ORKS</span> <span class="kwb">VEHICLE</span></span> units, this model has the <a href="/wh40k10ed/the-rules/core-rules/#Look-out-Sir-">Lone Operative</a> ability.|Datasheet||
000000012|4|||Mekaniak|At the end of your <a href="/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, you can select one friendly <span class="tooltip00374" data-tooltip-content="#tooltip_content00374" data-tooltip-anchor="#tooltip_content00374"><span class="kwb">ORKS</span> <span class="kwb">VEHICLE</span></span> model within 3" of this model. That <span class="kwb">VEHICLE</span> model regains up to D3 lost wounds, and, until the start of your next Movement phase, each time that <span class="kwb">VEHICLE</span> model makes an attack, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>. Each model can only be selected for this ability once per turn.|Datasheet||
000000013|1|000008346||||Core||
000000013|2|000003676||||Faction||
000000013|3|||Grot Orderly|Once per battle, in your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, if the bearer is leading a unit that is below its <a href="/wh40k10ed/the-rules/core-rules/#Starting-Strength">Starting Strength</a>, you can return up to D3 destroyed <a href="/wh40k10ed/the-rules/core-rules/#Attached-Units">Bodyguard</a> models to that unit.<br><br><b>Designer’s Note:</b> <i>Place a Grot Orderly token next to the unit, removing it once this ability has been used</i>|Wargear||
000000013|4|||Dok’s Toolz|While this model is leading a unit, models in that unit have the <span class="tooltip00007" data-tooltip-content="#tooltip_content00007"><span class="tt kwbu">Feel</span> <span class="tt kwbu">No</span> <span class="tt kwbu">Pain</span></span> 5+ ability.|Datasheet||
000000013|5|||Hold Still and Say ‘Aargh!’|Each time an attack made by this model with its ’urty syringe scores a <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Critical Wound</a> against a unit (excluding <span class="kwb">VEHICLE</span> units), that unit suffers D6 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|Datasheet||
000000014|1|000008346||||Core||
000000014|2|000003676||||Faction||
000000014|3|||Dok’s Toolz|While this model is leading a unit, models in that unit have the <span class="tooltip00007" data-tooltip-content="#tooltip_content00007"><span class="tt kwbu">Feel</span> <span class="tt kwbu">No</span> <span class="tt kwbu">Pain</span></span> 5+ ability.|Datasheet||
000000014|4|||Hold Still and Say ‘Aargh!’|Each time an attack made by this model with its ’urty syringe scores a <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Critical Wound</a> against a unit (excluding <span class="kwb">VEHICLE</span> units), that unit suffers D6 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|Datasheet||
000000015|1|000008338||||Core|5+|
000000015|2|000008346||||Core||
000000015|3|000003676||||Faction||
000000015|4|||Mad Dok|While this model is leading a unit, models in that unit have the <span class="tooltip00007" data-tooltip-content="#tooltip_content00007"><span class="tt kwbu">Feel</span> <span class="tt kwbu">No</span> <span class="tt kwbu">Pain</span> <span class="tt kwbu">5+</span></span> ability.|Datasheet||
000000015|5|||One Scalpel Short of a Medpack|While this model is leading a unit, that unit is eligible to <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">declare a charge</a> in a turn in which it <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Fell Back</a>.|Datasheet||
000000016|1|000003676||||Faction||
000000016|2|||Get Da Good Bitz|At the end of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, if this unit is within range of an <a href="/wh40k10ed/the-rules/core-rules/#Objective-Markers">objective marker</a> you control, that objective marker remains under your control, even if you have no models within range of it, until your opponent controls it at the start or end of any turn.|Datasheet||
000000016|3|||BODYGUARD|If this unit has a <a href="/wh40k10ed/the-rules/core-rules/#Starting-Strength">Starting Strength</a> of 20, you can attach up to two <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Leader</a> units to it instead of one (but only if one of those is a <span class="tooltip00375" data-tooltip-content="#tooltip_content00375" data-tooltip-anchor="#tooltip_content00375"><span class="kwb">WARBOSS</span></span> model). If you do, and this unit is destroyed, the Leader units attached to it become separate units with their original <a href="/wh40k10ed/the-rules/core-rules/#Starting-Strength">Starting Strengths</a>.|Special (правая колонка)||
000000017|1|000003676||||Faction||
000000017|2|||Runtherd|While this unit contains one or more Gretchin models, each time an attack targets this unit, Runtherd models in this unit have a Toughness characteristic of 2.|Datasheet||
000000017|3|||Thievin’ Scavengers|At the start of your <a href="/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, roll one D6 for each <a href="/wh40k10ed/the-rules/core-rules/#Objective-Markers">objective marker</a> you control that has one or more units from your army with this ability within range of it (excluding <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shocked</a> units). If one or more of those rolls is a 4+, you gain 1CP.|Datasheet||
000000019|1|000003676||||Faction||
000000019|2|||Pyromaniaks|Each time a model in this unit makes a ranged attack with a burna that targets an enemy unit within 6", re-roll a <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a> of 1. If the target of that attack is also within range of an <a href="/wh40k10ed/the-rules/core-rules/#Objective-Markers">objective marker</a>, you can re-roll the Wound roll instead.|Datasheet||
000000020|1|000003676||||Faction||
000000020|2|||Tank Hunters|Each time a model in this unit makes a ranged attack that targets a <span class="kwb">MONSTER</span> or <span class="kwb">VEHICLE</span> unit, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> and add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a>.|Datasheet||
000000020|3|||Bomb Squigs|Twice per battle, after this unit ends a <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Normal move</a>, you can select one enemy unit within 12" of it and roll one D6: on a 2+, that enemy unit suffers D3 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.<br><br><b>Designer’s Note:</b> <i>Place two Bomb Squig tokens next to the unit, removing one each time this unit uses this ability.</i>|Datasheet||
000000020|4|||Pulsa Rokkit|Once per battle, when the bearer’s unit is selected to shoot in your <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, the bearer can use its pulsa rokkit. If it does, until the end of the phase, improve the Strength and Armour Penetration characteristics of ranged weapons equipped by models in the bearer’s unit by 1.|Wargear||
000000020|5|||ATTACHED UNIT|If a <span class="tooltip01046" data-tooltip-content="#tooltip_content01046" data-tooltip-anchor="#tooltip_content01046"><span class="kwb">CHARACTER</span></span> unit from your army with the <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Leader</a> ability can be <a href="/wh40k10ed/the-rules/core-rules/#Attached-Units">attached</a> to a <a class="kwbOne" href="/wh40k10ed/factions/orks/Lootas"><span class="kwb kwbo">LOOTAS</span></a> unit, it can be attached to this unit instead.|Fortification (левая колонка)||
000000021|1|000003676||||Faction||
000000021|2|||Da Boss’ Ladz|While a <span class="tooltip00375" data-tooltip-content="#tooltip_content00375" data-tooltip-anchor="#tooltip_content00375"><span class="kwb">WARBOSS</span></span> model is leading this unit, each time an attack targets this unit, if the Strength characteristic of that attack is greater than the Toughness characteristic of this unit, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a>.|Datasheet||
000000021|3|||Ammo Runt|Once per battle for each ammo runt this unit has, when this unit is selected to shoot, it can use this ability. If it does, until the end of the phase, ranged weapons equipped by models in this unit have the <span class="kwb2 bluefont"><a href="/wh40k10ed/the-rules/core-rules/#Lethal-Hits">[LETHAL HITS]</a></span> ability.<br><br><b>Designer’s Note:</b> <i>Place the relevant number of Ammo Runt tokens next to the unit, removing one each time the unit uses this ability.</i>|Wargear||
000000022|1|000008346||||Core||
000000022|2|000003676||||Faction||
000000022|3|||Plant the Waaagh! Banner|Once per battle, at the start of the <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, this model can use this ability. If it does, until the start of the next battle round, this model’s unit gains the benefits of the <span class="tooltip00373" data-tooltip-content="#tooltip_content00373"><span class="tt kwbu">Waaagh!</span></span> ability as if you had called a Waaagh! this battle round.|Datasheet||
000000022|4|||Da Boss Iz Watchin’|While this model is gaining the benefits of the <span class="tooltip00373" data-tooltip-content="#tooltip_content00373"><span class="tt kwbu">Waaagh!</span></span> ability, it has a 4+ <a href="/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a> and an Objective Control characteristic of 5.|Datasheet||
000000023|1|000003676||||Faction||
000000023|2|||Drive-by Krumpin'|Each time this unit <a href="/wh40k10ed/the-rules/core-rules/#3.-Consolidate">Consolidates</a>, each model in this unit can move up to 6" instead of up to 3".|Datasheet||
000000023|3|||SPEED FREEKS MOB|If a model from your army with the <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Leader</a> ability can be attached to a <a class="kwbOne" href="/wh40k10ed/factions/orks/Warbikers"><span class="kwb kwbo">WARBIKERS</span></a> unit, it can be attached to this unit instead.|Special (правая колонка)||
000000024|1|000003676||||Faction||
000000024|2|||Krumpin’ Time|While the <span class="tooltip00373" data-tooltip-content="#tooltip_content00373"><span class="tt kwbu">Waaagh!</span></span> is active for your army, models in this unit have the <span class="tooltip00007" data-tooltip-content="#tooltip_content00007"><span class="tt kwbu">Feel</span> <span class="tt kwbu">No</span> <span class="tt kwbu">Pain</span> <span class="tt kwbu">5+</span></span> ability.|Datasheet||
000000025|1|000008345||||Core||
000000025|2|000008337||||Core||
000000025|3|000003676||||Faction||
000000025|4|||Distraction Grot|Once per battle, in your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, before making a <a href="/wh40k10ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a> for a model in this unit, it can deploy the distraction grot. If it does, until the end of the phase, models in this unit have a 5+ <a href="/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a>.<br><br><b>Designer’s Note:</b> <i>Place a Distraction Grot token next to the unit, removing it when this unit uses this ability.</i>|Wargear||
000000025|5|||Bomb Squig|Once per battle, after this unit ends a <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Normal</a>  move, select one enemy unit within 12" of this unit and roll one D6: on a 2+, that enemy unit suffers D3 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>. <br><br><b>Designer’s Note:</b> <i>Place a Bomb Squig token next to the unit, removing it when this unit uses this ability</i>|Wargear||
000000025|6|||Sneaky Surprise|Enemy units cannot use the <a href="/wh40k10ed/the-rules/test_/#Стратегема">Fire Overwatch</a> Stratagem to shoot at this unit.|Datasheet||
000000026|1|000008339||||Core|D3|
000000026|2|000008334||||Core|12|
000000026|3|000003676||||Faction||
000000026|4|||Grot Riggers|At the start of your Command phase, this model regains 1 lost wound.|Datasheet||
000000027|1|000008343||||Core||
000000027|2|000003676||||Faction||
000000027|3|||Full Throttle|This unit is eligible to <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">declare a charge</a> in a turn in which it <a href="/wh40k10ed/the-rules/core-rules/#Advance-Moves">Advanced</a> or <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Fell Back</a>.|Datasheet||
000000028|1|000008343||||Core||
000000028|2|000003676||||Faction||
000000028|3|||Deff from Above|Each time this unit ends a <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Normal move</a>, you can select one enemy unit it moved over during that move and roll one D6 for each model in this unit: for each 4+, that enemy unit suffers 1 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.|Datasheet||
000000029|1|000008339||||Core|D3|
000000029|2|000003676||||Faction||
000000029|3|||Dakkastorm|Each time this model makes a ranged attack, every successful <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> scores a <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Critical Hit</a>.|Datasheet||
000000030|1|000008339||||Core|D3|
000000030|2|000003676||||Faction||
000000030|3|||Burna Bomb|Each time this model ends a <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Normal move</a>, you can select one enemy unit it moved over during that move. Until the end of the turn, models in that unit cannot have the <a href="/wh40k10ed/the-rules/core-rules/#Benefit-of-Cover">Benefit of Cover</a>. In addition, roll one D6 for each model in that unit: for each 6, that unit suffers 1 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.|Datasheet||
000000031|1|000008339||||Core|D3|
000000031|2|000003676||||Faction||
000000031|3|||Boom Bomb|Each time this model ends a <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Normal move</a>, you can select one enemy unit it moved over during that move and roll one D6: on a 4+, that unit suffers D6 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|Datasheet||
000000032|1|000008339||||Core|D3|
000000032|2|000003676||||Faction||
000000032|3|||Blastajet Attack Run|Each time this model makes a ranged attack that targets a unit that cannot <span class="kwb">FLY</span>, re-roll a <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> of 1.|Datasheet||
000000032|4|||Blastajet Force Field|The bearer has a 4+ <a href="/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a>, but it loses the <a href="/wh40k10ed/the-rules/test_/#Стратегема">Grenades</a> keyword.|Wargear||
000000033|1|000003676||||Faction||
000000033|2|||Drive-by Dakka|Each time a model in this unit makes a ranged attack that targets a unit within 9", improve the Armour Penetration characteristic of that attack by 1.|Datasheet||
000000034|1|000003676||||Faction||
000000034|2|||Drive-by Dakka|Each time a model in this unit makes a ranged attack that targets a unit within 9", improve the Armour Penetration characteristic of that attack by 1.|Datasheet||
000000034|3|||SPEED FREEKS|If a model from your army with the <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Leader</a> ability can be attached to a <a class="kwbOne" href="/wh40k10ed/factions/orks/Warbikers"><span class="kwb kwbo">WARBIKERS</span></a> unit, it can be attached to this unit instead.|Special (правая колонка)||
000000035|1|000003676||||Faction||
000000035|2|||Pyromaniaks|Each time a model in this unit makes a ranged attack with a <a href="/wh40k10ed/the-rules/core-rules/#Torrent">Torrent</a> weapon that targets an enemy unit within 6", re-roll a <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a> of 1. If the target of that attack is also within range of an <a href="/wh40k10ed/the-rules/core-rules/#Objective-Markers">objective marker</a>, you can re-roll the Wound roll instead.|Datasheet||
000000035|3|||SPEED FREEKS|If a model from your army with the <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Leader</a> ability can be attached to a <a class="kwbOne" href="/wh40k10ed/factions/orks/Warbikers"><span class="kwb kwbo">WARBIKERS</span></a> unit, it can be attached to this unit instead.|Special (правая колонка)||
000000036|1|000003676||||Faction||
000000036|2|||Outflank|When this unit arrives from <a href="/wh40k10ed/the-rules/core-rules/#Strategic-Reserves">Strategic Reserves</a>, it can be set up within your opponent’s deployment zone (all other restrictions still apply).|Datasheet||
000000036|3|||SPEED FREEKS|If a model from your army with the <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Leader</a> ability can be attached to a <a class="kwbOne" href="/wh40k10ed/factions/orks/Warbikers"><span class="kwb kwbo">WARBIKERS</span></a> unit, it can be attached to this unit instead.|Special (правая колонка)||
000000037|1|000003676||||Faction||
000000037|2|||Splat!|Each time a model in this unit makes a ranged attack that targets a unit containing 10 or more models, re-roll a <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> of 1.|Datasheet||
000000037|3|||BIG GUNZ|<b>Designer’s Note:</b> <i>Place two Grot Crew tokens next to each Mek Gun model when this unit is first set up, removing one each time its Big Gun model loses a wound (a Big Gun model itself is considered to represent its final wound).</i>|Special (правая колонка)||
000000038|1|000003676||||Faction||
000000038|2|||Splat!|Each time a model in this unit makes a ranged attack that targets a unit that is at its <a href="/wh40k10ed/the-rules/core-rules/#Starting-Strength">Starting Strength</a> (excluding <span class="kwb">MONSTERS</span> and <span class="kwb">VEHICLES</span>), re-roll a <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> of 1.|Datasheet||
000000038|3|||Bubblechukka|Before selecting targets for this weapon, roll one D6 to determine which of its profiles to make attacks with, comparing the result with the numbers shown on the left.|Wargear profile||
000000039|1|000008339||||Core|D6|
000000039|2|000008334||||Core|11|
000000039|3|000003676||||Faction||
000000039|4|||Ramshackle but Rugged|Each time an attack is allocated to this model, worsen the Armour Penetration characteristic of that attack by 1.|Datasheet||
000000039|5|||’Ard Case|Add 2 to the bearer’s Toughness characteristic, but it no longer has the <a href="/wh40k10ed/the-rules/core-rules/#Embark">Firing Deck</a> ability.|Wargear||
000000040|1|000008339||||Core|1|
000000040|2|000003676||||Faction||
000000040|3|||Piston-driven Brutality|At the start of the <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, each enemy unit within <a href="/wh40k10ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of one or more units with this ability must take a <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shock test</a>.|Datasheet||
000000040|4|||Dead Choppy|The Attacks characteristic of this weapon is increased by 1 for each additional dread klaw this model is equipped with.|Wargear profile||
000000041|1|000008339||||Core|1|
000000041|2|000003676||||Faction||
000000041|3|||Shooty Power Trip|Each time this unit is selected to shoot, you can roll one D6:<br><ul><li>On a 1-2, this unit suffers D6 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.</li><li>On a 3-4, until the end of the phase, add 1 to the Strength characteristic of ranged weapons equipped by models in this unit.</li><li>On a 5-6, until the end of the phase, add 1 to the Attacks characteristic of ranged weapons equipped by models in this unit.</li></ul>|Datasheet||
000000042|1|000008339||||Core|D6|
000000042|2|000003676||||Faction||
000000042|3|||Clankin’ Forward|Each time this model makes a <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Normal</a>, <a href="/wh40k10ed/the-rules/core-rules/#Advance-Moves">Advance</a> or <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Fall Back</a> move, it can move over enemy models (excluding <span class="kwb">MONSTER</span> and <span class="kwb">VEHICLE</span> models) and <a href="/wh40k10ed/the-rules/core-rules/#Terrain-Features-1">terrain features</a> that are 4" or less in height as if they were not there.|Datasheet||
000000042|4|||Big an’ Shooty|Each time this model makes a ranged attack, if the <span class="tooltip00373" data-tooltip-content="#tooltip_content00373"><span class="tt kwbu">Waaagh!</span></span> is active for your army, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|Datasheet||
000000043|1|000008339||||Core|D6|
000000043|2|000003676||||Faction||
000000043|3|||Clankin’ Forward|Each time this model makes a <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Normal</a>, <a href="/wh40k10ed/the-rules/core-rules/#Advance-Moves">Advance</a> or <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Fall Back</a> move, it can move over enemy models (excluding <span class="kwb">MONSTER</span> and <span class="kwb">VEHICLE</span> models) and <a href="/wh40k10ed/the-rules/core-rules/#Terrain-Features-1">terrain features</a> that are 4" or less in height as if they were not there.|Datasheet||
000000043|4|||Big an’ Stompy|Each time this model makes a melee attack, if the <span class="tooltip00373" data-tooltip-content="#tooltip_content00373"><span class="tt kwbu">Waaagh!</span></span> is active for your army, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|Datasheet||
000000044|1|000003676||||Faction||
000000044|2|||Dat’s Our Loot!|Each time a model in this unit makes a ranged attack, re-roll a <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> of 1. If that attack targets a unit that is within range of an <a href="/wh40k10ed/the-rules/core-rules/#Objective-Markers">objective marker</a>, you can re-roll the Hit roll instead.|Datasheet||
000000045|1|000003676||||Faction||
