faction_id|id|name|type|cp_cost|legend|turn|phase|detachment|description|
|000008335008|RAPID INGRESS|Core – Strategic Ploy Stratagem|1|Be it cunning strategy, potent technology or supernatural ritual, there are many means by which a commander may hasten their warriors’ onset.|Opponent’s turn|Movement phase||<b>WHEN:</b> End of your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>.<br><br><b>TARGET:</b> One unit from your army that is in <a href="/wh40k10ed/the-rules/core-rules/#2.-Reinforcements">Reserves</a>.<br><br><b>EFFECT:</b> Your unit can arrive on the battlefield as if it were the <a href="/wh40k10ed/the-rules/core-rules/#2.-Reinforcements">Reinforcements step</a> of your Movement phase, and if every model in that unit has the <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Deep Strike</a> ability, you can set that unit up as described in the Deep Strike ability (even though it is not your Movement phase).<br><br><b>RESTRICTIONS:</b> You cannot use this Stratagem to enable a unit to arrive on the battlefield during a <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a> it would not normally be able to do so in.|
|000008335007|TANK SHOCK|Core – Strategic Ploy Stratagem|1|Ramming the foe with a speeding vehicle may be an unsubtle tactic, but it is a murderously effective one.|Your turn|Charge phase||<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>, just after a <span class="kwb">VEHICLE</span> unit from your army ends a Charge move.<br><br><b>TARGET:</b> That <span class="kwb">VEHICLE</span> unit.<br><br><b>EFFECT:</b> Select one enemy unit within <a href="/wh40k10ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of your unit, and select one <span class="kwb">VEHICLE</span> model in your unit that is within <a href="/wh40k10ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of that enemy unit. Roll a number of D6 equal to the Toughness characteristic of the selected <span class="kwb">VEHICLE</span> model. For each 5+, that enemy unit suffers 1 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> (to a maximum of 6 mortal wounds).|
|000008335009|FIRE OVERWATCH|Core – Strategic Ploy Stratagem|1|A hail of wildfire can drive back advancing foes.|Opponent’s turn|Movement or Charge phase||<b>WHEN:</b> Your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement</a> or <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>, just after an enemy unit is set up or when an enemy unit starts or ends a <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Normal</a>, <a href="/wh40k10ed/the-rules/core-rules/#Advance-Moves">Advance</a> or <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Fall Back move</a>, or <a href="/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit">declares a charge</a>.<br><br><b>TARGET:</b> One unit from your army that is within 24" of that enemy unit and that would be eligible to shoot if it were your <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>.<br><br><b>EFFECT:</b> If that enemy <a href="/wh40k10ed/the-rules/core-rules/#Unit-Visible">unit is visible</a> to your unit, your unit can shoot that enemy unit as if it were your Shooting phase.<br><br><b>RESTRICTIONS:</b> You cannot target a <span class="kwb">TITANIC</span> unit with this Stratagem. Until the end of the phase, each time a model in your unit makes a ranged attack, an unmodified <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> of 6 is required to score a hit, irrespective of the attacking weapon’s Ballistic Skill or any modifiers. You can only use this Stratagem once per turn.|
|000008335003|COUNTER-OFFENSIVE|Core – Strategic Ploy Stratagem|2|In close-quarters combat, the slightest hesitation can leave an opening for a swift foe to exploit.|Either player’s turn|Fight phase||<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, just after an enemy unit has fought.<br><br><b>TARGET:</b> One unit from your army that is within <a href="/wh40k10ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of one or more enemy units and that has not already been selected to fight this phase.<br><br><b>EFFECT:</b> Your unit fights next.|
|000008335011|SMOKESCREEN|Core – Wargear Stratagem|1|Even the most skilled marksmen struggle to hit targets veiled by billowing screens of smoke.|Opponent’s turn|Shooting phase||<b>WHEN:</b> Your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class="kwb">SMOKE</span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, all models in your unit have the <a href="/wh40k10ed/the-rules/core-rules/#Benefit-of-Cover">Benefit of Cover</a> and the <a href="/wh40k10ed/the-rules/core-rules/#_STEALTH">Stealth</a> ability.|
|000008335006|GRENADE|Core – Wargear Stratagem|1|Priming their hand-held projectiles, these warriors draw back and hurl death into the enemy’s midst.|Your turn|Shooting phase||<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class="kwb">GRENADES</span> unit from your army (excluding units that Advanced, Fell Back or have shot this turn) that is not within Engagement Range of one or more enemy units.<br><br><b>EFFECT:</b> Select one <span class="kwb">GRENADES</span> model in your unit and one enemy unit that is not within Engagement Range of any units from your army and is within 8" of and visible to your <span class="kwb">GRENADES</span> model. Roll six D6: for each 4+, that enemy unit suffers 1 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.|
|000008539002|NEW ORDERS|Core Stratagem – Strategic Ploy Stratagem|1|High command has received new intelligence.|Your turn|Command phase||<b>WHEN:</b> End of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>.<br><br><b>TARGET:</b> One of your active Secondary Mission cards.<br><br><b>EFFECT:</b> Discard it and draw one new Secondary Mission card.<br><br><b>RESTRICTIONS:</b> You can only use this Stratagem once per battle.<br>|
|000009063002|NEW ORDERS|Core Stratagem – Strategic Ploy Stratagem|1|High command has received new intelligence.|Your turn|Command phase||<b>WHEN:</b> End of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>.<br><br><b>TARGET:</b> One of your active Secondary Mission cards.<br><br><b>EFFECT:</b> Discard it and draw one new Secondary Mission card.<br>|
AC|000008931006|VIGIL UNENDING|Auric Champions – Epic Deed Stratagem|2|The Custodes do not yield while their duty remains unfulfilled.|Either player’s turn|Fight phase|Auric Champions|<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>.<br><br><b>TARGET:</b> One <span class="tooltip01150" data-tooltip-content="#tooltip_content01150" data-tooltip-anchor="#tooltip_content01150"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">CHARACTER</span></span> model from your army that was just <a href="/wh40k10ed/the-rules/core-rules/#Destroyed">destroyed</a> and has not fought this phase. You can use this Stratagem on that unit even though it was just destroyed.<br><br><b>EFFECT:</b> Do not remove your destroyed model from play. The destroyed model can fight after the attacking unit has finished <a href="/wh40k10ed/the-rules/core-rules/#Making-Attacks">making attacks</a>, and is then removed from play.|
AC|000008931004|THE EMPEROR’S AUSPICE|Auric Champions – Epic Deed Stratagem|1|In an age plagued by monsters, when primordial horrors from the darkest void circle Humanity's dying light, still the Adeptus Custodes stand strong.|Either player’s turn|Shooting or Fight phase|Auric Champions|<b>WHEN:</b> Your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> or the <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class="tooltip01150" data-tooltip-content="#tooltip_content01150" data-tooltip-anchor="#tooltip_content01150"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">CHARACTER</span></span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, <span class="kwb">CHARACTER</span> models in your unit have the <span class="tooltip00007" data-tooltip-content="#tooltip_content00007"><span class="tt kwbu">Feel</span> <span class="tt kwbu">No</span> <span class="tt kwbu">Pain</span> <span class="tt kwbu">4+</span></span> ability.|
AC|000008931002|SLAYER OF CHAMPIONS|Auric Champions – Epic Deed Stratagem|1|Whatfoe can withstand a warrior who has so tested the defences of the Throneworld itself?|Either player’s turn|Any phase|Auric Champions|<b>WHEN:</b> Any phase.<br><br><b>TARGET:</b> One <span class="tooltip01150" data-tooltip-content="#tooltip_content01150" data-tooltip-anchor="#tooltip_content01150"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">CHARACTER</span></span> unit from your army that has just <a href="/wh40k10ed/the-rules/core-rules/#Destroyed">destroyed</a> the unit you selected at the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a> as the target of your <span class="tooltip01169" data-tooltip-content="#tooltip_content01169"><span class="tt kwbu">Assemblage</span> <span class="tt kwbu">of</span> <span class="tt kwbu">Might</span></span> ability.<br><br><b>EFFECT:</b> Select one enemy unit on the battlefield Until the start of your next Command phase, each time an <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">CHARACTER</span> model from your army makes an attack that target that enemy unit, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a> In addition, if the destroyed unit was a <span class="kwb">CHARACTER</span> unit, gain 1CP.|
AC|000008931005|EARNING OF A NAME|Auric Champions – Epic Deed Stratagem|1|To lay low the greatest and most terrible monsters and heretics is to earn new names for a Custodian's mighty tally.|Either player’s turn|Fight phase|Auric Champions|<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>.<br><br><b>TARGET:</b> Up to two <span class="tooltip01150" data-tooltip-content="#tooltip_content01150" data-tooltip-anchor="#tooltip_content01150"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">CHARACTER</span></span> units from your army that have not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a <span class="kwb">CHARACTER</span> model in either of your units makes an attack that targets a <span class="kwb">MONSTER</span> or <span class="kwb">VEHICLE</span> unit, you can re-roll the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> and you can re-roll the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a>.|
AC|000008931003|SUPERHUMAN RESERVES|Auric Champions – Epic Deed Stratagem|2|With practiced ease, the Talons of the Emperor establish vicious crossfires to cut the foe apart.|Either player’s turn|Any phase|Auric Champions|<b>WHEN:</b> Any phase, just after an <span class="tooltip00625" data-tooltip-content="#tooltip_content00625" data-tooltip-anchor="#tooltip_content00625"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">WARLORD</span></span> model from your army has used an ability on its datasheet or from an Enhancement that says it can only be used Once per battle.<br><br><b>TARGET:</b> That <span class="tooltip01170" data-tooltip-content="#tooltip_content01170" data-tooltip-anchor="#tooltip_content01170"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">WARLORD</span></span> model.<br><br><b>EFFECT:</b> Your model can use its Once per battle’ ability one additional time during this battle (but not in the same phase).<br><br><b>RESTRICTIONS:</b> You cannot use this Stratagem more than once per battle.|
AC|000008931007|SHOULDER THE MANTLE|Auric Champions – Epic Deed Stratagem|1|The greatest Custodians know when it is both their duty and their right to command their comrades.|Your turn|Movement phase|Auric Champions|<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, before the <a href="/wh40k10ed/the-rules/core-rules/#2.-Reinforcements">Reinforcements step</a>.<br><br><b>TARGET:</b> One <span class="tooltip01150" data-tooltip-content="#tooltip_content01150" data-tooltip-anchor="#tooltip_content01150"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">CHARACTER</span></span> model from your army that is not leading a unit.<br><br><b>EFFECT:</b> Select one friendly unit (excluding <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shocked</a> and <a href="/wh40k10ed/the-rules/core-rules/#Attached-Units">Attached</a> units) within 2" horizontally and 5" vertically of your model that it could lead (as described in the Leader section of its <a href="/wh40k10ed/the-rules/core-rules/#Datasheets-1">datasheet</a>). Your model attaches to that unit as a Leader. Change that unit’s <a href="/wh40k10ed/the-rules/core-rules/#Starting-Strength">Starting Strength</a> accordingly.|
AC|000009274002|BLADES OF THE VIGILATORS|Black Ship Guardians – Battle Tactic Stratagem|1|Though intended for lopping the heads from witches, the Vigilators' long blades also allow for skilful parrying of incoming attacks.|Either player’s turn|Fight phase|Black Ship Guardians|<b>WHEN:</b> <a href="/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Vigilators"><span class="kwb kwbo">VIGILATORS</span></a>, <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Aleya"><span class="kwb kwbo">ALEYA</span></a> or <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Knight-centura"><span class="kwb kwbo">KNIGHT-CENTURA</span></a> equipped with an executioner greatblade unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, each time an attack targets your unit, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a>.|
AC|000009274003|FOCUSED FEAR|Black Ship Guardians – Battle Tactic Stratagem|1|Fighting in the confines of a voidship heightens the fearful aura of the Sisters of Silence, fouling their foes'aim and weakening their sword arms.|Either player’s turn|Shooting or Fight phase|Black Ship Guardians|<b>WHEN:</b> Your opponent’s <a href="/wh40k10ed/the-rules/boarding-action-rules/#Shooting-Phase">Shooting phase</a> or the <a href="/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class="tooltip00624" data-tooltip-content="#tooltip_content00624" data-tooltip-anchor="#tooltip_content00624"><span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span></span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.|
AC|000009274005|PUNISHMENT OF THE PROSECUTORS|Black Ship Guardians – Battle Tactic Stratagem|1|The Prosecutors cut down without mercy all who dare stand between the Silent Sisters and their prey.|Your turn|Shooting phase|Black Ship Guardians|<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/boarding-action-rules/#Shooting-Phase">Shooting phase</a>.<br><br><b>TARGET:</b> One <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Prosecutors"><span class="kwb kwbo">PROSECUTORS</span></a> unit from your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Until the end of the phase, improve the Armour Penetration characteristic of ranged weapons equipped by models in your unit by 1. In addition, each time a model in your unit makes a ranged attack, on a <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Critical Wound</a>, improve the Armour Penetration characteristic of that attack by an additional 1.|
AC|000009274004|CORNERED PREY|Black Ship Guardians – Strategic Ploy Stratagem|1|Once they have their quarry trapped within a section of the voidship, the Silent Sisters relentlessly run them to ground.|Your turn|Movement phase|Black Ship Guardians|<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/boarding-action-rules/#Movement-Phase">Movement phase</a>, just after an <span class="tooltip00624" data-tooltip-content="#tooltip_content00624" data-tooltip-anchor="#tooltip_content00624"><span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span></span> unit from your army <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Falls Back</a>.<br><br><b>TARGET:</b> That <span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span> unit.<br><br><b>EFFECT:</b> Until the end of the turn, your unit is eligible to shoot and <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">declare a charge</a> in a turn in which it <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Fell Back</a>.|
AC|000008927004|ANATHEMA BLADEMASTERY|Null Maiden Vigil – Battle Tactic Stratagem|1|The Vigilators train tirelessly in the art of the swift, beheading strike, with a particular emphasis on the swift elimination of enemy witches.|Either player’s turn|Fight phase|Null Maiden Vigil|<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>.<br><br><b>TARGET:</b> One <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Vigilators"><span class="kwb kwbo">VIGILATORS</span></a> unit from your army that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes a melee attack, you can re-roll the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> If the target of that attack is <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shocked</a> or a <span class="kwb">PSYKER</span>, you can re-roll the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a> as well.|
AC|000008927006|PURGATION SWEEP|Null Maiden Vigil – Battle Tactic Stratagem|1|Witchseekers know their role in combat is to spread indiscriminate carnage through the foe’s ranks.|Your turn|Shooting phase|Null Maiden Vigil|<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>.<br><br><b>TARGET:</b> One <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Witchseekers"><span class="kwb kwbo">WITCHSEEKERS</span></a> unit from your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Until the end of the phase, add 1 to the Attacks characteristic of <a href="/wh40k10ed/the-rules/core-rules/#Torrent">Torrent</a> weapons equipped by models in your unit. If such a weapon targets a <span class="kwb">PSYKER</span> or <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shocked</a> unit this phase, add 2 to its Attacks characteristic instead.|
AC|000008927003|WITCH HUNTERS|Null Maiden Vigil – Battle Tactic Stratagem|1|Null Maidens train to slay psykers with swift martial efficiency, for they know their prey have many weapons beyond just their powers and must not be allowed time or opportunity to employ them.|Either player’s turn|Shooting or Fight phase|Null Maiden Vigil|<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> or the <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>.<br><br><b>TARGET:</b> One <span class="tooltip00624" data-tooltip-content="#tooltip_content00624" data-tooltip-anchor="#tooltip_content00624"><span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span></span> unit from your army that has not been selected to shoot or fight this phase.<br><br><b>EFFECT:</b> Select either the <span class="kwb2 bluefont"><a href="/wh40k10ed/the-rules/core-rules/#Lethal-Hits">[LETHAL HITS]</a></span> or <span class="kwb2 bluefont"><a href="/wh40k10ed/the-rules/core-rules/#Sustained-Hits">[SUSTAINED HITS 1]</a></span> ability. Until the end of the phase, weapons equipped by models in your unit have the selected ability, but models in your unit can only target <span class="kwb">PSYKER</span> units with their attacks.|
