datasheet_id|line|button|description|
000000020|1|•|1 of the Boss Nob’s rokkit pistols can be replaced with 1 smash hammer.|
000000020|2|•|One Tankbusta can be equipped with one of the following:<ul style="list-style-type:circle"><li>1 pulsa rokkit</li><li>1 additional rokkit launcha</li></ul>|
000000021|1|•|Any number of models can each have their big choppa replaced with 1 power klaw.|
000000021|2|•|Any number of models can each have their slugga and big choppa replaced with 1 kombi-weapon and 1 close combat weapon.|
000000021|3|•|For every 5 models in this unit, this unit can be equipped with 1 ammo runt.|
000000022|1|•|None|
000000023|1|•|Any number of models can each be equipped with 1 slugga.|
000000023|2|•|Any number of models can each have their choppa replaced with one of the following:<ul style="list-style-type:circle"><li>1 big choppa</li><li>1 killsaw</li><li>1 power klaw</li><li>1 power stabba</li><li>1 slugga</li></ul>|
000000024|1|•|Any number of models can each have their kustom shoota and power klaw replaced with one of the following:<ul style="list-style-type:circle"><li>1 kombi-weapon and 1 power klaw</li><li>1 kombi-weapon and 1 killsaw</li><li>1 kustom shoota and 1 killsaw</li><li>1 killsaw and 1 power klaw</li><li>1 twin killsaw</li></ul>|
000000025|1|•|The Boss Nob’s choppa can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 big choppa</li><li>1 power klaw</li></ul>|
000000025|2|•|Up to 2 Kommandos can each have their slugga and choppa replaced with 1 speshul Kommando shoota and 1 close combat weapon.|
000000025|3|•|1 Kommando’s slugga and choppa can be replaced with 1 breacha ram.|
000000025|4|•|1 Kommando’s slugga and choppa can be replaced with 1 burna and 1 close combat weapon.|
000000025|5|•|1 Kommando’s slugga and choppa can be replaced with 1 rokkit launcha and 1 close combat weapon.|
000000025|6|•|This unit can be equipped with 1 bomb squig.|
000000025|7|•|This unit can be equipped with 1 distraction grot.|
000000026|1|•|This model can be equipped with 1 wreckin’ ball.|
000000027|1|•|The Boss Nob’s choppa can be replaced with 1 power klaw.|
000000028|1|•|For every 3 models in this unit, 1 Deffkopta can have its kopta rokkits replaced with 1 kustom mega-blasta.|
000000029|1|•|This model can be equipped with 1 additional twin supa-shoota.|
000000030|1|•|This model can be equipped with 1 skorcha missile rack.|
000000032|1|•|This model’s twin wazbom mega-kannon can be replaced with 1 twin tellyport mega-blasta.|
000000032|2|•|This model can be equipped with 1 blastajet force field.|
000000032|3|•|This model can be equipped with 1 twin supa-shoota.|
000000033|1|•|Each Warbiker can be equipped with one of the following:<ul style="list-style-type:circle"><li>1 slugga</li><li>1 choppa</li></ul>|
000000033|2|•|The Boss Nob on Warbike can be equipped with one of the following:<ul style="list-style-type:circle"><li>1 slugga</li><li>1 big choppa</li><li>1 power klaw</li></ul>|
000000034|1|•|Any number of models can each have their twin big shoota replaced with 1 rack of rokkits.|
000000035|1|•|None|
000000036|1|•|Any number of models can each have their twin big shoota replaced with 1 rack of rokkits.|
000000037|1|•|Any number of models can each have their kannon replaced with one of the following:<ul style="list-style-type:circle"><li>1 lobba</li><li>1 zzap gun</li></ul>|
000000038|1|•|Each model’s smasha gun can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 bubblechukka</li><li>1 kustom mega-kannon</li><li>1 traktor kannon</li></ul>|
000000039|1|•|This model can be equipped with one of the following:<ul style="list-style-type:circle"><li>1 kannon</li><li>1 killkannon</li><li>1 zzap gun</li></ul>|
000000039|2|•|This model can be equipped with:<ul style="list-style-type:circle"><li>1 lobba</li></ul>|
000000039|3|•|This model can be equipped with up to 4 big shootas.|
000000039|4|•|This model’s tracks and wheels can be replaced with 1 deff rolla.|
000000039|5|•|This model can be equipped with any of the following:<ul style="list-style-type:circle"><li>1 ’ard case</li><li>1 grabbin’ klaw</li><li>1 wreckin’ ball</li></ul>|
000000040|1|•|This model’s big shootas can each be replaced with one of the following:<ul style="list-style-type:circle"><li>1 dread klaw</li><li>1 kustom-mega blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>|
000000040|2|•|This model’s dread klaws can each be replaced with one of the following:<ul style="list-style-type:circle"><li>1 big shoota</li><li>1 kustom-mega blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>|
000000041|1|•|Each Killa Kan’s Kan shoota can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 grotzooka</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>|
000000044|1|•|Any number of Spanners can each have their big shoota replaced with one of the following:<ul style="list-style-type:circle"><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li></ul>|
000000045|1|•|This unit can be equipped with 1 ammo runt.|
000000049|1|•|Any number of models can each have their big shoota replaced with one of the following:<ul style="list-style-type:circle"><li>1 grotzooka</li><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>|
000000049|2|•|For every four models in this unit, one model can be equipped with one of the following in addition to any other weapons:<ul style="list-style-type:circle"><li>1 big shoota</li><li>1 grotzooka</li><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>|
000000050|1|•|This model’s twin big shoota can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 twin grotzooka</li><li>1 twin kustom mega-blasta</li><li>1 twin rokkit launcha</li><li>1 twin skorcha</li></ul>|
000000050|2|•|This model’s twin grotzooka can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 twin big shoota</li><li>1 twin kustom mega-blasta</li><li>1 twin rokkit launcha</li><li>1 twin skorcha</li></ul>|
000000051|1|•|This model can be equipped with 1 kannon.|
000000052|1|•|This model’s killkannon can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 dread killsaw</li><li>1 dread rippa klaw</li></ul>|
000000052|2|•|This model’s dread rippa klaw can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 dread killsaw</li><li>1 killkannon</li></ul>|
000000053|1|•|This model’s tracks and wheels can be replaced with 1 deff rolla.|
000000053|2|•|This model can be equipped with 1 grabbin’ klaw.|
000000053|3|•|This model can be equipped with 1 wreckin’ ball.|
000000053|4|•|This model can be equipped with one of the following:<ul style="list-style-type:circle"><li>1 big shoota</li><li>2 big shootas</li><li>1 big shoota and 1 rokkit launcha</li><li>1 rokkit launcha</li><li>2 rokkit launchas</li></ul>|
000000054|1|•|This model can be equipped with one of the following:<ul style="list-style-type:circle"><li>1 kannon</li><li>1 supa-kannon</li></ul>|
000000055|1|•|This model can be equipped with up to 3 big shootas.|
000000056|1|•|This model’s bursta kannon can be replaced with 1 giga shoota.|
000000057|1|•|This model can be equipped with up to 2 big bomms.|
000000057|2|•|This model’s big shoota can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>|
000000057|3|•|This model’s 2 deffguns can be replaced with 2 rattler kannons.|
000000059|1|•|This model can be equipped with one of the following:<ul style="list-style-type:circle"><li>1 kannon</li><li>1 supa-kannon</li></ul>|
000000061|1|•|The Assault Sergeant’s bolt pistol can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li></ul>|
000000061|2|•|The Assault Sergeant’s Astartes chainsword can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>|
000000061|3|•|The Assault Sergeant can do one of the following:<ul style="list-style-type:circle"><li>Replace its bolt pistol and Astartes chainsword with 1 twin lightning claws.</li><li>Be equipped with 1 Astartes shield.</li></ul>|
000000061|4|•|Up to 2 Assault Marines can each have their bolt pistol and Astartes chainsword replaced with one of the following:<ul style="list-style-type:circle"><li>1 plasma pistol and 1 Astartes chainsword</li><li>1 flamer and 1 close combat weapon</li><li>1 meltagun and 1 close combat weapon</li><li>1 plasma gun and 1 close combat weapon</li></ul>|
000000061|5|•|For every 5 models in this unit, 1 model’s Astartes chainsword can be replaced with 1 eviscerator.|
000000063|1|•|None|
000000064|1|•|The Assault Sergeant with Jump Pack’s bolt pistol can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li></ul>|
000000064|2|•|The Assault Sergeant with Jump Pack’s Astartes chainsword can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>|
000000064|3|•|The Assault Sergeant with Jump Pack can do one of the following:<ul style="list-style-type:circle"><li>Replace its bolt pistol and Astartes chainsword with 1 twin lightning claws.</li><li>Be equipped with 1 Astartes shield.</li></ul>|
000000064|4|•|Up to 2 Assault Marines with Jump Packs can each have their bolt pistol and Astartes chainsword replaced with one of the following:<ul style="list-style-type:circle"><li>1 plasma pistol and 1 Astartes chainsword</li><li>1 flamer and 1 close combat weapon</li><li>1 meltagun and 1 close combat weapon</li><li>1 plasma gun and 1 close combat weapon</li></ul>|
000000064|5|•|For every 5 models in this unit, 1 model’s Astartes chainsword can be replaced with 1 eviscerator.|
000000065|1|•|This model can be equipped with 1 hunter-killer missile.|
000000065|2|•|This model can be equipped with 1 multi-melta.|
000000065|3|•|This model can be equipped with 1 storm bolter.|
000000066|1|•|This model can be equipped with 1 hunter-killer missile.|
000000066|2|•|This model can be equipped with 1 multi-melta.|
000000066|3|•|This model can be equipped with 1 storm bolter.|
000000067|1|•|This model can be equipped with 1 hunter-killer missile.|
000000067|2|•|This model can be equipped with 1 storm bolter.|
000000067|3|•|This model can be equipped with 1 multi-melta.|
000000067|4|•|This model can be equipped with 1 combi-weapon.|
000000070|1|•|1 Tactical Marine’s boltgun can be replaced with one of the following:<br><ul style="list-style-type:circle"><li>1 flamer</li><li>1 heavy bolter</li><li>1 grav-cannon</li><li>1 grav-gun</li><li>1 lascannon</li><li>1 meltagun</li><li>1 missile launcher</li><li>1 multi-melta</li><li>1 plasma cannon</li><li>1 plasma gun</li></ul>|
000000070|2|•|1 Tactical Marine’s boltgun can be replaced with one of the following:<br><ul style="list-style-type:circle"><li>1 flamer</li><li>1 grav-gun</li><li>1 meltagun</li><li>1 plasma gun</li></ul>|
000000070|3|•|The Tactical Sergeant’s bolt pistol and boltgun can be replaced with 1 twin lightning claws, or two different weapons from the following list:* <br><ul style="list-style-type:circle"><li>1 Astartes chainsword</li><li>1 bolt pistol</li><li>1 boltgun</li><li>1 combi-weapon</li><li>1 grav-pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>|
000000070|4|*| * This model can only be equipped with two ranged weapons if one of them is a Pistol (and it can only have one Pistol).|
000000071|1|•|The Bladeguard Veteran Sergeant’s heavy bolt pistol can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 neo-volkite pistol</li><li>1 plasma pistol</li></ul>|
000000072|1|•|None|
000000073|1|•|This model’s bolt pistol, master-crafted bolter and close combat weapon can be replaced with one of the following: <br><ul style="list-style-type:circle"><li>1 heavy bolt pistol and 1 power fist </li><li>1 heavy bolt pistol and 1 master-crafted power weapon </li><li>1 neo-volkite pistol and 1 power fist </li><li>1 neo-volkite pistol and 1 master-crafted power weapon </li><li>1 plasma pistol and 1 power fist </li><li>1 plasma pistol and 1 master-crafted power weapon </li><li>1 heavy bolt pistol, 1 master-crafted power weapon and 1 relic shield</li></ul>|
000000073|2|•|This model’s close combat weapon can be replaced with one of the following: <br><ul style="list-style-type:circle"><li>1 master-crafted power weapon </li><li>1 power fist</li></ul>|
000000079|1|•|This model can be equipped with one of the following:<ul style="list-style-type:circle"><li>1 combi-weapon</li><li>1 storm bolter</li></ul>|
000000083|1|•|This model’s heavy bolt pistol can be replaced with one of the following: <br><ul style="list-style-type:circle"><li>1 plasma pistol </li><li>1 hand flamer </li></ul>|
000000083|2|•|This model’s Astartes chainsword can be replaced with one of the following: <br><ul style="list-style-type:circle"><li>1 power fist </li><li>1 relic weapon</li></ul>|
000000083|3|•|This model’s heavy bolt pistol and Astartes chainsword can be replaced with 1 thunder hammer and 1 relic shield.|
000000084|1|•|This model’s skyhammer missile launcher can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 twin heavy bolter</li><li>1 typhoon missile launcher</li></ul>|
000000084|2|•|This model’s las-talon can be replaced with 1 Icarus stormcannon.|
000000085|1|•|This model can be equipped with 1 hunter-killer missile.|
000000086|1|•|Any number of models can each have their twin Firestrike las-talon replaced with 1 twin Firestrike autocannon.|
000000087|1|•|This model’s storm bolter can be replaced with 1 deathwind launcher.|
000000092|1|•|This model can be equipped with one of the following:<ul style="list-style-type:circle"><li>2 heavy bolters</li><li>2 lascannons</li></ul>|
000000092|2|•|This model can be equipped with 1 hunter-killer missile.|
000000092|3|•|This model can be equipped with 1 storm bolter.|
000000093|1|•|This model can be equipped with one of the following:<ul style="list-style-type:circle"><li>2 heavy bolters</li><li>2 lascannons</li></ul>|
000000093|2|•|This model can be equipped with one of the following:<ul style="list-style-type:circle"><li>1 heavy bolter</li><li>1 heavy flamer</li><li>1 multi-melta</li><li>1 storm bolter</li></ul>|
000000095|1|•|None|
000000096|1|•|None|
000000097|1|•|This model’s Hammerfall heavy bolter array can be replaced with 1 Hammerfall heavy flamer array.|
000000098|1|•|This model’s twin heavy bolter replaced with 1 twin lascannon.|
000000099|1|•|None|
000000103|1|•|For every 3 models in this unit, 1 Eradicator’s melta rifle can be replaced with 1 multi-melta.|
000000104|1|•|The Relic Terminator Sergeant’s combi-bolter can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 plasma blaster</li><li>1 volkite charger</li></ul>|
000000104|2|•|For every 5 models in this unit, 1 Relic Terminator’s combi-bolter can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 heavy flamer</li><li>1 reaper autocannon</li></ul>|
000000104|3|•|For every 5 models in this unit, 1 model can be equipped with 1 grenade harness.|
000000104|4|•|Any number of models can each have their power fist replaced with 1 power weapon.|
000000104|5|•|Any number of models can each have their power fist replaced with one 1 chainfist.|
000000104|6|•|Any number of models can each have their combi-bolter and power fist replaced with 1 twin lightning claws.|
000000107|1|•|This model’s javelin missile launcher can be replaced with 2 lascannons|
000000107|2|•|This model’s heavy bolter can be replaced with 1 multi-melta.|
000000107|3|•|This model can be equipped with up to 2 hunter-killer missiles.|
000000110|1|•|This model’s quad heavy bolter can be replaced with one of the following<ul style="list-style-type:circle"><li>1 graviton cannon</li><li>1 laser destroyer</li><li>1 quad launcher</li></ul>|
000000111|1|•|This model’s 2 twin heavy bolters can be replaced with one of the following:<ul style="list-style-type:circle"><li>2 assault cannons</li><li>2 Dreadnought inferno cannons</li><li>2 heavy plasma cannons</li><li>2 missile launchers</li><li>2 multi-meltas</li><li>2 twin autocannons</li><li>2 twin lascannons</li></ul>|
000000112|1|•|This model’s bolt pistol can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 boltgun</li><li>1 combi-weapon</li><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li></ul>|
000000113|1|•|This model’s twin heavy bolter can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 twin multi-melta</li><li>1 typhoon missile launcher</li></ul>|
000000113|2|•|This model’s 2 twin hellstrike missile launchers can be replaced with 2 twin lascannons|
000000115|1|•|This model’s storm bolter can be replaced with 1 relic shield.|
000000116|1|•|The Biker Sergeant’s bolt pistol can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 Astartes chainsword</li><li>1 boltgun</li><li>1 combi-weapon</li><li>1 hand flamer</li><li>1 grav-pistol</li><li>1 inferno pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>|
000000116|2|•|Any number of Space Marine Bikers can each have their bolt pistol replaced with 1 Astartes chainsword.|
000000116|3|•|Up to 2 Space Marine Bikers can each have their bolt pistol replaced with one of the following:<ul style="list-style-type:circle"><li>1 flamer</li><li>1 grav-gun</li><li>1 meltagun</li><li>1 plasma gun</li><li>1 plasma pistol</li></ul>|
000000116|4|•|An Attack Bike’s heavy bolter can be replaced with 1 multi-melta.  |
000000117|1|•|This model’s assault cannon can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 heavy plasma cannon</li><li>1 multi-melta</li><li>1 twin lascannon</li></ul>|
000000117|2|•|This model’s Dreadnought combat weapon and storm bolter can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 missile launcher and 1 close combat weapon</li><li>1 heavy flamer and 1 Dreadnought combat weapon</li></ul>|
000000118|1|•|Any number of models can each have their thunder hammer and storm shield replaced with 1 twin lightning claws.|
000000120|1|•|This model’s assault cannon can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 heavy plasma cannon</li><li>1 multi-melta</li><li>1 twin autocannon</li><li>1 twin heavy bolter</li><li>1 twin heavy flamer</li><li>1 twin lascannon</li><li>1 Dreadnought inferno cannon</li></ul>|
000000120|2|•|This model’s storm bolter and Dreadnought combat weapon can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 heavy flamer and 1 Dreadnought combat weapon</li><li>1 missile launcher</li><li>1 twin autocannon </li></ul>|
000000122|1|•|None|
000000123|1|•|This model can be equipped with one of the following:<ul style="list-style-type:circle"><li>2 heavy bolters</li><li>2 lascannons</li></ul>|
000000123|2|•|This model can be equipped with 1 hunter-killer missile.|
000000123|3|•|This model can be equipped with 1 storm bolter.|
000000125|1|•|All models in this unit can each have their assault bolters replaced with 1 plasma exterminators.|
000000128|1|•|1 Infiltrator can be equipped with 1 helix gauntlet.*|
000000128|2|•|1 Infiltrator can be equipped with 1 Infiltrator comms array.*|
000000128|3|*|* These options cannot be taken on the same model.|
000000129|1|•|This model’s twin heavy bolter can be replaced with 1 twin lascannon.|
000000129|2|•|This model can be equipped with 1 hunter-killer missile.|
000000129|3|•|This model can be equipped with 1 storm bolter.|
000000131|1|•|Each of this model’s grav-flux bombards can be replaced with one of the following<ul style="list-style-type:circle"><li>1 cyclonic melta lance</li><li>1 storm cannon</li><li>1 meltagun and 1 Leviathan siege claw</li><li>1 meltagun and 1 Leviathan siege drill</li></ul>|
000000131|2|•|This model’s 2 heavy flamers can be replaced with 2 twin volkite calivers.|
000000131|3|•|This model can be equipped with 3 hunter-killer missiles.|
000000132|1|•|None|
000000134|1|•|Up to 2 models can each have their Servitor servo-arm replaced with one of the following:<ul style="list-style-type:circle"><li>1 heavy bolter and 1 close combat weapon</li><li>1 multi-melta and 1 close combat weapon</li><li>1 plasma cannon and 1 close combat weapon</li></ul>|
000000135|1|•|This model’s storm bolter can be replaced with 1 combi-weapon|
000000135|2|•|This model’s relic weapon can be replaced with 1 relic fist|
000000136|1|•|This model’s twin heavy bolter can be replaced with 1 twin multi-melta.|
000000136|2|•|This model’s Brutalis fists and Brutalis bolt rifles can be replaced with 1 Brutalis talons.|
000000137|1|•|The Scout Biker Sergeant’s bolt pistol can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 Astartes chainsword</li><li>1 boltgun</li><li>1 combi-weapon</li><li>1 hand flamer</li><li>1 grav-pistol</li><li>1 inferno pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>|
000000137|2|•|Any number of models can each have their twin boltgun replaced with 1 Astartes grenade launcher.|
000000139|1|•|This model’s Thunderhawk heavy cannon can be replaced with 1 turbo-laser destructor.|
000000139|2|•|This model’s Thunderhawk cluster bombs can be replaced with 1 hellstrike missile battery.|
000000146|1|•|This model can be equipped with 1 hunter-killer missile.|
000000146|2|•|This model can be equipped with 1 storm bolter.|
000000147|1|•|Any number of models can each have their bolt pistol replaced one of the following:<ul style="list-style-type:circle"><li>1 storm shield</li><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li></ul>|
000000148|1|•|None|
000000152|1|•|None|
000000153|1|•|None|
000000154|1|•|This model’s storm bolter can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 heavy flamer</li><li>1 meltagun</li></ul>|
000000159|1|•|This model’s bolt pistol can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 boltgun</li><li>1 combi-weapon</li><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li></ul>|
000000159|2|•|This model’s Astartes chainsword can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>|
000000160|1|•|None|
000000165|1|•|Any number of models can each have their encarmine blade replaced with 1 encarmine spear.|
000000165|2|•|For every 3 models in this unit, 1 model’s Angelus boltgun can be replaced with 1 inferno pistol.|
000000165|3|•|One model can be equipped with 1 Sanguinary banner.|
000000166|1|•|This model’s twin heavy bolter can be replaced with 1 twin multi-melta.|
000000166|2|•|This model's blood fists and blood fist bolt rifles can be replaced with 1 blood talons.|
000000167|1|•|This model’s heavy frag cannon and Furioso fist can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 Blood Talons and 1 meltagun</li><li>1 twin Furioso fist and 1 meltagun</li></ul>|
000000167|2|•|This model’s storm bolter can be replaced with 1 heavy flamer.|
000000167|3|•|This model’s meltagun can be replaced with 1 heavy flamer.|
000000167|4|•|This model can be equipped with 1 magna-grapple.|
000000168|1|•|This model's twin assault cannon can be replaced with 1 Baal flamestorm cannon.|
000000168|2|•|This model can be equipped with 1 hunter-killer missile.|
000000168|3|•|This model can be equipped with 1 storm bolter.|
000000168|4|•|This model can be equipped with one of the following<ul style="list-style-type:circle"><li>2 heavy bolters</li><li>2 heavy flamers</li></ul>|
000000169|1|•|None|
000000230|1|•|Any number of Deathwing Terminators can each have their power fist replaced with 1 chainfist.|
000000230|2|•|For every 5 models in this unit, 1 Deathwing Terminator can replace its storm bolter with one of the following:<ul style="list-style-type:circle"><li>1 assault cannon</li><li>1 heavy flamer</li><li>1 plasma cannon</li><li>1 storm bolter and 1 cyclone missile launcher (this model’s storm bolter cannot be replaced)</li></ul>|
000000230|3|•|This unit can be equipped with 1 Watcher in the Dark.|
000000231|1|•|The Knight Master’s great weapon of the Unforgiven can be replaced with 1 relic weapon.|
000000231|2|•|All Deathwing Knights in this unit can each have their mace of absolution replaced with 1 power weapon. |
000000231|3|•|This unit can be equipped with 1 Watcher in the Dark.|
000000238|1|•|This model’s heavy bolter can be replaced with 1 assault cannon.|
000000239|1|•|This model’s avenger mega bolter can be replaced with 1 Nephilim lascannons.|
000000241|1|•|For every 3 models in this unit, 1 model can replace its plasma talon with 1 Astartes grenade launcher.|
000000242|1|•|This model’s heavy bolter can be replaced with 1 assault cannon.|
000000243|1|•|This model can be equipped with up to 4 heavy bolters.|
000000282|1|•|None|
000000283|1|•|None|
000000284|1|•|This model’s bolt pistol can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 combi-weapon</li><li>1 master-crafted boltgun</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li><li>1 relic weapon</li><li>1 thunder hammer</li></ul>|
000000284|2|•|This model’s relic weapon can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 plasma pistol</li><li>1 power fist</li><li>1 thunder hammer</li><li>1 relic shield and 1 close combat weapon</li></ul>|
000000284|3|•|This model’s bolt pistol and relic weapon can be replaced with 1 twin lightning claws.|
000000285|1|•|None|
000000286|1|•|None|
000000287|1|•|None|
000000288|1|•|None|
000000292|1|•|None|
000000297|1|•|None|
000000300|1|•|This model’s power weapon can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 chainfist</li><li>1 power fist</li><li>1 relic shield and 1 close combat weapon</li><li>1 thunder hammer</li></ul>|
000000300|2|•|This model’s storm bolter and power weapon can be replaced with 1 twin lightning claws.|
000000300|3|•|This model’s storm bolter can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 chainfist</li><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li><li>1 combi-weapon</li></ul>|
000000301|1|•|This model’s bolt pistol and relic weapon can be replaced with 1 twin lightning claws.|
000000301|2|•|This model’s bolt pistol can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 combi-weapon</li><li>1 master-crafted boltgun</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li><li>1 relic weapon</li><li>1 thunder hammer</li></ul>|
000000301|3|•|This model’s relic weapon can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 plasma pistol</li><li>1 power fist</li><li>1 thunder hammer</li><li>1 storm shield and 1 close combat weapon</li></ul>|
000000302|1|•|This model’s assault cannon can be replaced with one of the following:<ul style="list-style-type:circle"><li>heavy plasma cannon</li><li>helfrost cannon</li><li>multi-melta</li><li>twin lascannon</li></ul>|
000000303|1|•|The Blood Claw Pack Leader’s Astartes chainsword can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 power fist</li><li>1 power weapon</li></ul>|
000000303|2|•|The Blood Claw Pack Leader’s bolt pistol can be replaced with 1 plasma pistol.|
000000303|3|•|Up to 2 Blood Claws can each have their Astartes chainsword replaced with one of the following:<ul style="list-style-type:circle"><li>1 flamer and 1 close combat weapon</li><li>1 grav-gun and 1 close combat weapon</li><li>1 meltagun and 1 close combat weapon</li><li>1 plasma gun and 1 close combat weapon</li></ul>|
000000304|1|•|None|
000000305|1|•|1 Grey Hunter’s bolt pistol can be replaced with 1 plasma pistol.|
000000305|2|•|Any number of models can each be equipped with 1 Astartes chainsword.|
000000305|3|•|The Grey Hunter Pack Leader’s close combat weapon can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 power fist</li><li>1 power weapon</li></ul>|
