datasheet_id|line|line_in_wargear|dice|name|description|range|type|A|BS_WS|S|AP|D|
000000021|5|1||Power klaw||Melee|Melee|3|4|9|-2|2|
000000022|1|1||Kustom shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>|18|Ranged|4|5|4|0|1|
000000022|2|1||Waaagh! banner||Melee|Melee|3|3|8|-2|2|
000000023|1|1||Slugga|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|5|4|0|1|
000000023|2|1||Twin dakkagun|<a href="/wh40k10ed/the-rules/core-rules/#Assault">assault</a>, <a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|18|Ranged|3|5|5|0|1|
000000023|3|1||Big choppa||Melee|Melee|3|3|7|-1|2|
000000023|4|1||Choppa||Melee|Melee|3|3|5|-1|1|
000000023|5|1||Close combat weapon||Melee|Melee|3|3|5|0|1|
000000023|6|1||Killsaw||Melee|Melee|2|4|12|-3|2|
000000023|7|1||Power klaw||Melee|Melee|3|4|9|-2|2|
000000023|8|1||Power stabba|<a href="/wh40k10ed/the-rules/core-rules/#Lance">lance</a>|Melee|Melee|3|4|8|-1|2|
000000024|1|1||Kombi-weapon|<a href="/wh40k10ed/the-rules/core-rules/#Anti">anti-infantry 4+</a>, <a href="/wh40k10ed/the-rules/core-rules/#Devastating-Wounds">devastating wounds</a>, <a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 1</a>|24|Ranged|1|5|4|0|1|
000000024|2|1||Kustom shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>|18|Ranged|4|5|4|0|1|
000000024|3|1||Killsaw||Melee|Melee|2|4|12|-3|2|
000000024|4|1||Power klaw||Melee|Melee|3|4|9|-2|2|
000000024|5|1||Twin killsaw|<a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|Melee|Melee|2|4|12|-3|2|
000000025|1|1||Burna|<a href="/wh40k10ed/the-rules/core-rules/#Ignores-Cover">ignores cover</a>, <a href="/wh40k10ed/the-rules/core-rules/#Torrent">torrent</a>|12|Ranged|D6|N/A|4|0|1|
000000025|2|1||Speshul Kommando shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>|18|Ranged|4|5|4|0|1|
000000025|3|1||Rokkit launcha|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|24|Ranged|D3|5|9|-2|3|
000000025|4|1||Slugga|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|5|4|0|1|
000000025|5|1||Big choppa||Melee|Melee|4|3|7|-1|2|
000000025|6|1||Breacha ram||Melee|Melee|2|4|9|-2|2|
000000025|7|1||Choppa||Melee|Melee|3|3|4|-1|1|
000000025|8|1||Close combat weapon||Melee|Melee|2|3|4|0|1|
000000025|9|1||Power klaw||Melee|Melee|3|4|9|-2|2|
000000026|1|1||Big shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>|36|Ranged|3|5|5|0|1|
000000026|2|1||Spiked wheels||Melee|Melee|3|4|6|0|1|
000000026|3|1||Wreckin’ ball|<a href="/wh40k10ed/the-rules/core-rules/#Extra-Attacks">extra attacks</a>|Melee|Melee|1|4|10|0|D6|
000000027|1|1||Slugga|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|5|4|0|1|
000000027|2|1||Choppa||Melee|Melee|3|3|4|-1|1|
000000027|3|1||Power klaw||Melee|Melee|3|4|9|-2|2|
000000028|1|1||Kopta rokkits|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|24|Ranged|D3|5|9|-2|3|
000000028|2|1||Kustom mega-blasta|<a href="/wh40k10ed/the-rules/core-rules/#Hazardous">hazardous</a>|24|Ranged|3|5|9|-2|D6|
000000028|3|1||Slugga|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|5|4|0|1|
000000028|4|1||Spinnin’ blades||Melee|Melee|6|3|5|0|1|
000000029|1|1||Twin supa-shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>, <a href="/wh40k10ed/the-rules/core-rules/#Sustained-Hits">sustained hits 1</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|36|Ranged|4|5|6|-1|1|
000000029|2|1||Armoured hull||Melee|Melee|3|4|6|0|1|
000000030|1|1||Twin big shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|36|Ranged|3|5|5|0|1|
000000030|2|1||Twin supa-shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>, <a href="/wh40k10ed/the-rules/core-rules/#Sustained-Hits">sustained hits 1</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|36|Ranged|4|5|6|-1|1|
000000030|3|1||Skorcha missile rack|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>, <a href="/wh40k10ed/the-rules/core-rules/#Ignores-Cover">ignores cover</a>|36|Ranged|2D6|5|5|-1|1|
000000030|4|1||Armoured hull||Melee|Melee|3|4|6|0|1|
000000031|1|1||Big shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>|36|Ranged|3|5|5|0|1|
000000031|2|1||Twin supa-shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>, <a href="/wh40k10ed/the-rules/core-rules/#Sustained-Hits">sustained hits 1</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|36|Ranged|4|5|6|-1|1|
000000031|3|1||Armoured hull||Melee|Melee|3|4|6|0|1|
000000032|1|1||Smasha gun|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|48|Ranged|D3|4|9|-3|4|
000000032|2|1||Twin wazbom mega-kannon|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>, <a href="/wh40k10ed/the-rules/core-rules/#Hazardous">hazardous</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|36|Ranged|D3|4|12|-2|D6|
000000032|3|1||Twin supa-shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>, <a href="/wh40k10ed/the-rules/core-rules/#Sustained-Hits">sustained hits 1</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|36|Ranged|4|4|6|-1|1|
000000032|4|1||Twin tellyport mega-blasta|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|24|Ranged|3|5|9|-1|D6+1|
000000032|5|1||Armoured hull||Melee|Melee|3|4|6|0|1|
000000033|1|1||Slugga|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|5|4|0|1|
000000033|2|1||Twin dakkagun|<a href="/wh40k10ed/the-rules/core-rules/#Assault">assault</a>, <a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|18|Ranged|3|5|5|0|1|
000000033|3|1||Big choppa||Melee|Melee|3|3|7|-1|2|
000000033|4|1||Choppa||Melee|Melee|3|3|4|-1|1|
000000033|5|1||Close combat weapon||Melee|Melee|2|3|4|0|1|
000000033|6|1||Power klaw||Melee|Melee|3|4|9|-2|2|
000000034|1|1||Rack of rokkits|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|24|Ranged|D3+1|5|9|-2|3|
000000034|2|1||Twin big shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|36|Ranged|3|5|5|0|1|
000000034|3|1||Spiked wheel||Melee|Melee|2|4|6|0|1|
000000035|1|1||Skorcha|<a href="/wh40k10ed/the-rules/core-rules/#Ignores-Cover">ignores cover</a>, <a href="/wh40k10ed/the-rules/core-rules/#Torrent">torrent</a>|12|Ranged|D6|N/A|5|-1|1|
000000035|2|1||Spiked wheel||Melee|Melee|2|4|6|0|1|
000000036|1|1||Rack of rokkits|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|24|Ranged|D3+1|5|9|-2|3|
000000036|2|1||Twin big shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|36|Ranged|3|5|5|0|1|
000000036|3|1||Spiked wheels||Melee|Melee|3|4|6|0|1|
000000037|1|1||Kannon – frag|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>, <a href="/wh40k10ed/the-rules/core-rules/#Heavy">heavy</a>|36|Ranged|D6|6|5|0|1|
000000037|2|2||Kannon – shell|<a href="/wh40k10ed/the-rules/core-rules/#Heavy">heavy</a>|36|Ranged|1|6|9|-2|D6|
000000037|3|1||Lobba|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>, <a href="/wh40k10ed/the-rules/core-rules/#Heavy">heavy</a>, <a href="/wh40k10ed/the-rules/core-rules/#Indirect-Fire">indirect fire</a>|48|Ranged|D6|6|5|0|1|
000000037|4|1||Zzap gun|<a href="/wh40k10ed/the-rules/core-rules/#Devastating-Wounds">devastating wounds</a>, <a href="/wh40k10ed/the-rules/core-rules/#Heavy">heavy</a>|36|Ranged|1|6|2D6|-3|3|
000000037|5|1||Close combat weapons||Melee|Melee|2|3|4|0|1|
000000038|1|1|1-2 |Bubblechukka – big bubble|bubblechukka, <a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|48|Ranged|2D6|4|6|-1|1|
000000038|2|2|3-4 |Bubblechukka – wobbly bubble|bubblechukka, <a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|48|Ranged|D6|4|9|-2|3|
000000038|3|3|5-6|Bubblechukka – dense bubble|bubblechukka, <a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|48|Ranged|D3|4|12|-3|D6+3|
000000038|4|1||Kustom mega-kannon|<a href="/wh40k10ed/the-rules/core-rules/#Blast">BLAST</a>, <a href="/wh40k10ed/the-rules/core-rules/#Hazardous">HAZARDOUS</a>|36|Ranged|D6|4|12|-1|D6|
000000038|5|1||Smasha gun|<a href="/wh40k10ed/the-rules/core-rules/#Blast">BLAST</a>|48|Ranged|D3+1|4|9|-3|3|
000000038|6|1||Traktor kannon|<a href="/wh40k10ed/the-rules/core-rules/#Anti">ANTI-FLY 2+</a>, <a href="/wh40k10ed/the-rules/core-rules/#Devastating-Wounds">DEVASTATING WOUNDS</a>|48|Ranged|1|4|10|-2|D6+1|
000000038|7|1||Grot crew||Melee|Melee|6|5|2|0|1|
000000039|1|1||Big shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>|36|Ranged|3|5|5|0|1|
000000039|2|1||Kannon – frag|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|36|Ranged|D6+3|5|6|0|1|
000000039|3|2||Kannon – shell||36|Ranged|1|5|10|-2|D6|
000000039|4|1||Killkannon||24|Ranged|D6+1|5|9|-2|2|
000000039|5|1||Lobba|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>, <a href="/wh40k10ed/the-rules/core-rules/#Indirect-Fire">indirect fire</a>|48|Ranged|D6|5|5|0|1|
000000039|6|1||Zzap gun|<a href="/wh40k10ed/the-rules/core-rules/#Anti">anti-vehicle 4+</a>|36|Ranged|1|5|D6+6|-3|5|
000000039|7|1||Deff rolla||Melee|Melee|6|3|9|-1|2|
000000039|8|1||Grabbin’ klaw|<a href="/wh40k10ed/the-rules/core-rules/#Extra-Attacks">extra attacks</a>|Melee|Melee|2|3|8|-2|2|
000000039|9|1||Tracks and wheels||Melee|Melee|6|4|8|0|1|
000000039|10|1||Wreckin’ ball|<a href="/wh40k10ed/the-rules/core-rules/#Extra-Attacks">extra attacks</a>|Melee|Melee|1|4|10|0|D6|
000000040|1|1||Big shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>|36|Ranged|3|5|5|0|1|
000000040|2|1||Kustom mega-blasta|<a href="/wh40k10ed/the-rules/core-rules/#Hazardous">hazardous</a>|24|Ranged|3|5|9|-2|D6|
000000040|3|1||Rokkit launcha|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|24|Ranged|D3|5|9|-2|3|
000000040|4|1||Skorcha|<a href="/wh40k10ed/the-rules/core-rules/#Ignores-Cover">ignores cover</a>, <a href="/wh40k10ed/the-rules/core-rules/#Torrent">torrent</a>|12|Ranged|D6|N/A|5|-1|1|
000000040|5|1||Dread klaw|dead choppy|Melee|Melee|4|3|12|-2|3|
000000040|6|1||Stompy feet||Melee|Melee|4|3|5|0|1|
000000041|1|1||Kan shoota|<a href="/wh40k10ed/the-rules/core-rules/#Devastating-Wounds">devastating wounds</a>, <a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>|36|Ranged|3|4|5|0|1|
000000041|2|1||Grotzooka|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>, <a href="/wh40k10ed/the-rules/core-rules/#Ignores-Cover">ignores cover</a>|18|Ranged|D3+3|4|6|-1|1|
000000041|3|1||Rokkit launcha|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|24|Ranged|D3|4|9|-2|3|
000000041|4|1||Skorcha|<a href="/wh40k10ed/the-rules/core-rules/#Ignores-Cover">ignores cover</a>, <a href="/wh40k10ed/the-rules/core-rules/#Torrent">torrent</a>|12|Ranged|D6|N/A|5|-1|1|
000000041|5|1||Kan klaw||Melee|Melee|3|4|8|-2|3|
000000042|1|1||Kustom mega-blasta|<a href="/wh40k10ed/the-rules/core-rules/#Hazardous">hazardous</a>|24|Ranged|3|5|9|-2|D6|
000000042|2|1||Kustom mega-zappa|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>, <a href="/wh40k10ed/the-rules/core-rules/#Hazardous">hazardous</a>|36|Ranged|D6+3|5|10|-2|D6|
000000042|3|1||Rokkit launcha|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|24|Ranged|D3|5|9|-2|3|
000000042|4|1||Twin big shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|36|Ranged|3|5|5|0|1|
000000042|5|1||Klaw of Mork – strike||Melee|Melee|4|3|18|-3|6|
000000042|6|2||Klaw of Mork – sweep||Melee|Melee|12|3|8|-1|2|
000000043|1|1||Deffstorm mega-shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 10</a>|36|Ranged|20|5|6|-1|1|
000000043|2|1||Rokkit launcha|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|24|Ranged|D3|5|9|-2|3|
